TL.x,TL.y,BR.x,BR.y,WORD
268,-11,3010,3010,* Please complete the attached , " All About Me " packet with your child and 
565,107,2743,2743,return it during your visit on September 5th . Thank you ! * 
814,384,2537,2537,Ms . O ' Dell ' s kindergarten supply list 2017 - 2018 
726,482,2584,2584,( all items can be found on Staples . com or Amazon ) 
208,651,2148,2148,2 boxes of Crayola® Classic Markers , Broad Line , 8 / Box 
221,823,2163,2163,2 packages of Crayola Write Start Colored Pencils , 8 / CT 
239,996,2132,2132,4 Elmer ' s Disappearing Purple School Glue Sticks , . 77 oz 
256,1175,1877,1877,4 Dixon Ticonderoga My First Pencils , sharpened 
260,1342,1104,1104,3 boxes of Facial Tissues 
232,1512,2807,2807,1 package of Expo® Low Odor Dry - Erase Markers , Chisel Tip , Assorted , 8 / pk 
219,1691,1331,1331,1 package baby wipes , unscented 
204,1867,1528,1528,1 container of liquid hand soap , 7 . 5 oz 
