Input,Product,Quantity,Tags
2017-2018 Roosevelt School,Roosevelt,2017,
Grade 5 School Supplies
"1 Folders, Poly, 2 -Pocket, 3 -Hole, S/Pack, Be/Rd/Gn/Yw/Pu",Folders Pocket Hole Pack,1,
"1 Binder, 3 Ring, Heavy Duty, View, 0.5', White",Binder Ring Heavy Duty View,1,White
"4 Pens, Ballpoint, Round Stick, Medium Point, Blue",Pens Ballpoint Round Stick Medium Point,4,Blue
"2 Pen, Ballpoint, Red. Stick, Medium Point, Red",Pen Ballpoint Stick Medium Point,2,Red
"1 Markers, 11 'c Colors, Wide Tip, 8/Set",Markers Colors Wide Tip Set,1,
"1 Markers, Dry Erase, Fine, Low Odor, Asst. 4/Pack",Markers Dry Erase Fine Low Odor Asst Pack,1,
"3 Pendls, #2, Oriole, Sharpened, Latex Free, Dozen",Oriole Sharpened Latex Free,3,Dozen
"1 Notebooks, Spiral, 5/Pack, Wit. 70 CL Be/Rd/Gn/Yw/Pur",Notebooks Spiral Pack Wit,1,
"16 Glue Stick, Staple Brand, W.I. kle, White, 0.26 oz.",Glue Stick Staple Brand White ounce,16,
"1 Sdssors, 5', Pointed Tip, Latex Free, Asst.",Pointed Tip Latex Free Asst,1,
"2 Highlighter, Chisel Tip, Yellow w/Pocket Clip",Highlighter Chisel Tip,2,Yellow
"1 Index Cards, 4' X 6', Ruled, 100/Pack, White",Index Cards Ruled 00 Pack,1,White
"1 Sketch Book, Top Wire bound, 9' X 12% 30 ShL",Sketch Book Top Wire bound,1,
"2 Composition Book, Marble Cover, Wit. 100 sheets, Blk",Composition Book Marble Cover Wit 100 sheets,2,
"1 Eraser, Pink, Large, Latex Free",Eraser Pink Large Latex Free,1,
2017-2018 Roosevelt School,Roosevelt,2017,
Grade 6 School Supplies
