Input,Product,Quantity,Tags
Hickory Ridge Middle School,Hickory Ridge Middle,1,
2017 - 2018 Student Starter Supply Box,Starter,2017,Box
8th Grade
Description,Description,1,
2 Pocket Folders with prongs 1;4 in a pack),Pocket Folders,2,
l urge Erasers,urge Erasers,Multiple,
Colored Pencils Sharpened +;12 in a pacK _,Colored Pencils Sharpened,Multiple,pacK
"2"" Heavy_ Duty 3 Ring Binder"
#2 Penciis Sia
r enec 1:12 in packT�
Wide Rue Fi er Pa per i'120 ?ages in a pack
Marbi'e Cover Composition '3oo s(100�,Cover Composition,1,
Pencil' Case -- 3 o e ..,Pencil Case,1,
►ire;; ers Sep:,ire,1,
+4 in set),set,4,
Gue S .icks
J Ighl :e rs - Ye ow
D 1'2 .►ed 2 3 ue and 2 Back)
