Input,Product,Quantity,Tags
THIRD GRADE SUPPLY LIS'
class specific supplies.,class specific,1,
"At the start of the school year individual teachers may request a few additional,"
1 pack 3x3 Post -it notes,Post notes,1,"3x3,pack"
(General)
2 box of gallon size Ziploc bags (Judaic),size Ziploc bags,2,"box,gallon"
6 highlighters (Judaic - 4 Assorted colors / General - 2 any,highlighters,6,
''5x7 pack index cards (Judaic/General) color),index cards color,Multiple,"5x7,pack"
","
",2'3x5 pack index cards (Judaic/General)",index cards,2,"3x5,pack"
"-Composition notebooks wide ruled (red, green, yellow, purple, if possible)",Composition notebooks wide ruled,Multiple,
(General) p )
"A-3 pronged paper folders - red, green, yellow, purple, black (General)",pronged paper folders red green yellow purple,Multiple,black
P ( )
lack and white composition notebook (Judaic),lack and composition notebook,1,white
''1 spiral notebook 70-100 pages (General),spiral notebook 00 pages,1,
it package wide -ruled looseleaf paper,wide ruled looseleaf paper,1,package
1 plastic 3 pronged folder (Judaic),plastic pronged folder,1,
1- 8 pocket folder (General),pocket folder,1,
2 - 8 packs thick Crayola Markers (Judaic/General),pack thick Crayola Markers,2,packs
v2 - 24 packs Crayola Crayons (Judaic/General),pack Crayola Crayons,Multiple,packs
c..3 - 24 pack sharpened pencils (1 Judaic/2 General),sharpened pencils,Multiple,pack
"(""7 glue sticks (4 Judaic/3 General)",glue sticks,7,
1 pair of scissors (General),scissors,1,pair
4 erasers (2 Judaic/2 General),erasers,4,
2 rolls of scotch tape (General),scotch tape,2,rolls
5 Expo markers (2 Judaic/3 General),Expo markers,5,
"2 colored pens, not black or blue (General)",colored pens not,2,"black,blue"
*Pencil case (for bag) - students should have pencils/erasers/sharpener in their bags
every day*
**Every student needs a personal pair of earbuds or headphones (labeled with their
name),name,1,
