Input,Product,Quantity,Tags
- ' Iur Kers
GRADE 4
6 'composition notebooks,composition notebooks,6,
❑ 1 roll of duct tap any,duct tap any,1,roll
color,color,1,
[1 2 spiral notebook,spiral notebook,1,
ruled),ruled,1,
0 6 plastic pocket folders,plastic pocket folders,6,
❑ 12 expo dry -erase markers,expo dry erase markers,12,
[1] 3 highlighters,highlighters,1,
❑ 6 pkg. sticky notes (Post -Its),sticky notes,6,pkg.
"❑ 2 boxes of #2 pencils, 48 count",pencils,2,boxes
"0 1 box colored pencils, 24 count",colored pencils,1,box
❑ 2 pkg. 100 count ruled note cards,100 ruled note cards,2,pkg.
"[� 4 pkg, notebook paper (wide ruled)",notebook paper,4,
"❑ 1 scissors, blunt tip",scissors blunt tip,1,
❑ 5 large glue sticks,large glue sticks,5,
❑ 4 boxes of facial tissue,facial tissue,4,boxes
D 1 large hand sanitizer 30oz/hand soap/refills,large hand sanitizer hand soap refills,1,
"111 3 Clorox wipes, large",Clorox wipes large,111,
❑ 2 1 -gallon freezer bags (no slider closure),gallon freezer bags,2,
O 6 red grading pens
"❑ 1 box of crayons, 24 count",crayons,1,box
"❑ I pkg. manila paper, 8x12",manila paper,2,"8x1,pkg."
"1 pkg. construction paper, 8x12 assorted colors",construction paper assorted colors,1,"8x1,pkg."
0 1 bottle of white glue,glue,1,"bottle,white"
[:] 1 earbud headphones,earbud headphones,1,
"1 box of colors, 64 count *",colors,1,box
"[:] 1 pkg. colored pencils, 24-48 count •",colored pencils,1,pkg.
[ 1 pkg. 6 pack glue sticks •,glue sticks,1,"pkg.,pack"
"L] 2 pkg. pencils, #2 *",pencils,2,pkg.
[ ] 1 pkg. markers *,markers,1,pkg.
1
1
1
1
1
1
