Input,Product,Quantity,Tags
e Photo,Photo,1,
KINDERGARTEN
"12 - 2 -Pocket Plastic Folders (3 red, 3",Pocket Plastic Folders,12,
"blue, 3 green 3 Yellow)"
4 MEAD Black & White Notebooks,MEAD Notebooks,4,"Black,White"
2 Large Erasers,Large Erasers,2,
3 pecks of 12 Dixon Ticonderoga,pecks Dixon Ticonderoga,3,
pencils (Sharpened) (AN other brands,pencils Sharpened,Multiple,
break when sharpened),break when sharpened,1,
1 4 -pack Dry -erase marken,pack Dry erase,1,
2 Boxes of KLEENEX ?issues,KLEENEX issues,2,Boxes
