Input,Product,Quantity,Tags
•••o( cricket LTE 2:39 PM 7 6% C - r
yonkerspublicschools.org
"5'"" Grade Suooly list"
5 Marble notebooks,Marble notebooks,5,
1 Pack of index cards,index cards,1,Pack
1 Homework pad,Homework pad,1,
1 Container Clorox wipes,Clorox wipes,1,Container
1 Binder,Binder,1,
2 Packs of loose leaf paper,loose leaf paper,2,Packs
1 Pack of colored construction paper,colored construction paper,1,Pack
1 Pack of pencils,pencils,1,Pack
1 Box of crayons,crayons,1,Box
3 Glue sticks,Glue sticks,3,
1 Pair of scissors,scissors,1,Pair
1 Headset,Headset,1,
1 Box of tissues,tissues,1,Box
1 Container of hand sanititer,hand,1,Container
J
