Input,Product,Quantity,Tags
"i1 L J..11u w. �.•r...K:l""'�Md' -."
3RD GRADE SUPPLY LIST
Add full hit Sr+
1 SUPPLIES SENT HOME,SENT HOME,1,
1 - CrayolaM Color,Color,1,
"Pencils, 24/box",Pencils box,Multiple,
Pre sharpened,sharpened,1,
1 - tug® 2 -Hole,tug Hole,1,
Manual Pencil,Manual Pencil,1,
Sharpener,Sharpener,1,
8/15/2017
1 - Paper Mate®,Paper Mate,1,
Pink Pearl®,Pearl,1,Pink
Erasers,Erasers,Multiple,
Medium. Pack Of 3,Medium,3,Pack
OPTIONS,OPTIONS,Multiple,
1- Office Depot®,Office Depot,1,
Semicircular 6',Semicircular,6,
Protractor,Protractor,1,
Clear
1 - 3 -inch Zipper,inch Zipper,1,
Binder,Binder,1,
Exampl• Cas• it
Zipper Binder,Zipper Binder,1,
A'
L. v
OPTIONS,OPTIONS,Multiple,
1 - Crayolam Ultra -,Ultra,1,
Clean Washable
Color Markers.,Color Markers,Multiple,
Box of 8
"Broad Tip, 8/box",Broad Tip box,1,
1 - Pencil Pouch,Pencil Pouch,1,
With Mesh
Window,Window,1,
"W— T x 9 3/4', Assorted",Assorted,1,
j► -� Colors,Colors,Multiple,
ar
naTlnNc
•
OPTIONS,OPTIONS,Multiple,
3 - Office Depot®,Office Depot,3,
"Filler Paper, Wide",Filler Paper Wide,1,
Ruled,Ruled,1,
8' x101/2'.100 Count,100,8,
1 - Office Depot®,Office Depot,1,
Student
Com pass,Com pass,1,
12'
These are shipped directly to parents
1 - Crayola'*),Crayola,1,
Standard Crayon,Standard Crayon,1,
Set. Box Of 24,Set,24,Box
Assorted Colors,Assorted Colors,Multiple,
1 - Oxford® Index,Oxford Index,1,
"Cards, Ruled, 4' x",Cards Ruled,Multiple,
6'
"White, Pack Of 100",White,100,Pack
Yubbler
1 - Scholastic,Scholastic,1,
"Glue Sticks, Pack",Glue Sticks,Multiple,Pack
Of 4
032 Oz.. Clear,Clear,032,
D3 - Office Depot®,Office Depot,1,
Composition
"Book, Wide",Book Wide,1,
Ruled,Ruled,1,
100 Sheets. Assorted,Sheets Assorted,100,
Blk/Wht
1 - Dixon1 Oriole,Oriole,1,
Pencils,Pencils,Multiple,
No 2 Soft Lead Pre -,Soft Lead,1,
sharpened Dozen,sharpened,1,Dozen
"OPfIC,NS"
•
1 - Westcott Non -,Non,1,
Shatter Plastic,Shatter Plastic,1,
Ruler,Ruler,1,
"12', Clear, inches and",Clear inches ,12,
centimeters,centimeters,Multiple,
1 - BIG® Brite,BIG,1,
Liner® Grip,Liner Grip,1,
Highlighters,Highlighters,Multiple,
"Assorted Colors,",Assorted Colors,Multiple,
5/box,box,5,
