Input,Product,Quantity,Tags
TTAIY - 2017 - 2018 SCOWL SU,2017 2018 SCOWL,1,
•
2r grade
• Crende Crams (24 owed,Crams,Multiple,
1 S PoiiieQ Scissors,Scissors,1,
•
3 n oz. (22 g GA Shad
1 4 oz. Ebnsrs School Glee,ounce Glee,1,
1 4 De* mlittikors
2 Spa' Moist** - Weis RIM (10coun4,Spa Moist RIM,2,
2 Caeso±iion Noleaook CAA - coal,coal,2,
2 Kleenex Tian 1100 owed,Kleenex 1100 owed,2,
4 Side Chisel To Leo Qrt Erase Wrtaer,Side Chisel Leo Erase,4,
1 1' View Binder,View Binder,1,
2 hie6tre Prat t Erasers,Erasers,2,
1 Pencil Bauder 0ronrneb (dear 0on4,Pencil,1,
"50 a Pencils (Tandem,* era 4",Pencils,50,
1 5 Tab/10 Pochs1 C ser Plssic Waders,Tab Waders,1,
"4 101 sea color • Red eye, Grew. & Yaw PIN*",sea color eye Grew Yaw PIN,4,Red
Brad i Psda ( Folder,Brad,1,
1 T Colored Ponds (12 care,Colored Ponds,1,
1 Wide Wed Paper (200 °Duna,Wide Wed Paper,1,
1 Hand **ter (10 oe.I,Hand,1,
1 17118 Assailed Nose MO mune • Gels,Assailed Nose Gels,1,
1 1b10 Wee Paso (50 card) • Boys,Wee Paso Boys,1,
2+ Grade
1 Comb Trlslaties (12,Comb,1,
$ .n oz. (22tck. Sods
1 121118 Mop Paper (50 owl) • Bowl,Mop Paper Bowl,1,
1 12x18 lessoi1 Paver (50 a nrnO - Girls,Paver,1,12x1
"2 Velar rbgt,iQlMsrs",Velar,2,
1 Red Bohm Note000t - Wide (60 card,Wide,1,Red
1 ewe Ural Nole000t • weds (TO 0:oms0,ewe Ural weds,1,
6 Carnpo1 Notebook (WW)10,Notebook,6,
1 Wide R ed Paper (150 =AO _,Wide Paper,1,
5 Anatol Place Fob* side S Holes,Anatol Place Fob side Holes,5,
3 Blade F> on Erase Markers - chisel `b,Blade Erase Markers chisel,3,
1 Peed Pouch (bask minima,Peed Pouch,1,
