Input,Product,Quantity,Tags
Highview Elementary School
3rd Grade Supply List
2017 — 2018
Please purchase and bring the following supplies to school:
First Day Essentials:,Day Essentials,Multiple,
4 dozen Ticonderoga #2 Yellow pencils (sharpened),Ticonderoga pencils,4,"dozen,Yellow"
5 two -pocket plastic folders (horizontal pockets please),two pocket plastic folders,5,
3 marble composition books,marble composition books,3,
1 package (12 or 24) of thin markers OR crayons,thin markers crayons,1,package
1-2 Independent Reading Books,Independent Reading Books,1,
Additional Supplies:
2 block erasers,block erasers,2,
2 boxes of tissues (family size),tissues,2,boxes
1 12 -box of colored pencils (sharpened),box colored pencils,1,
1 3 -ring zipper pencil case (no pencil boxes please!),ring zipper pencil case,1,boxes
2 — 4 -packs thin dry erase markers,packs thin dry erase markers,2,
2 large Elmer glue sticks,large Elmer glue sticks,2,
4 pads of 3X3 Post -Its,Post Its,4,pads
1 pair blunt tip scissors,blunt tip scissors,1,pair
1 Art Smock (labeled and in a sealed Ziploc bag),Art Smock,1,
1 package of ruled 3 x 5 index cards in a sealed Ziploc,ruled index cards sealed Ziploc,1,"3 x 5,package"
1 pair of headphones (labeled with name and,headphones,1,pair
bag) gallon size),size,1,gallon
1 box of Ziploc bags (girl — quart size / boy — g,Ziploc bags,1,box
1 handheld pencil,handheld pencil,1,
encil sharpener (with attachment to hold shavings),sharpener,1,
2 highlighters,highlighters,2,
1 big smile 0,big smile,1,
1 toter (12,toter,1,
inch with cm. too; Please keep at home),inch,1,
