Input,Product,Quantity,Tags
• One unruled notebook.,unruled notebook,One,
i.e. Unruled notebook from
Michael's,Michael,1,
• One two -pocket plastic,two pocket plastic,One,
folder.,folder,1,
• Two boxes of tissues,tissues,Two,boxes
• One roll of paper towel,paper towel,One,roll
• Two jumbo size Glue sticks,jumbo size Glue sticks,Two,
• One roll of Scotch blue,Scotch,One,"roll,blue"
painters tape
• One box of Ziplock bags,Ziplock bags,One,box
• One pack of Crayola,Crayola,One,pack
Washable Markers,Washable Markers,Multiple,
• One pack of 3 inches X 3,inches,One,pack
inches Post -It Notes
F' Ei 1-6.
