Input,Product,Quantity,Tags
••000 Verizon LTE 10:17 AM 1 46%
•
charlottesvilleschools.org
CHARLOTTEVILLE HIGH SCHOOL
SCHOOL SUPPLIES 2017
Below is the school supply list for 2017-2018:,Below the,2018,
• Backpack to carry supplies and school -loaned technology
• 2 binders,binders,2,
• Notebook (lined) paper,Notebook paper,1,
• 6 Pencils,Pencils,6,
• 6 Blue/black pens,Blue black pens,6,
• 2 highlighters,highlighters,2,
• Calculator,Calculator,1,
• Subject dividers,Subject dividers,Multiple,
• 2 single -subject spiral notebooks,single subject spiral notebooks,2,
• Colored pencil set,Colored pencil,1,set
• Note cards,Note cards,Multiple,
Other items will be announced by teachers on the first day of class.
