Input,Product,Quantity,Tags
Grade Worksheet,Worksheet,1,
School of Science and Technology,Science and Technology,1,
QUI
1 Ea
1 Ea
2 Pk
2 Ea
2 Ea
1 St
1 Pr
1 Ea
2 Pk
1 Ea
5 Pk
1 Pk
1 Pk
1 Pk
2 Ea
2 Ea
1 Ea
1 Bx
1 St
2 Bx
1 Ea
1 Pk
1 Pk
1 Pk
1 Pk
2 Ea
•
.
Description,Description,1,
"Storage Box w/i itch Lid, 16.25"" x 11.25"" x 6.75', 15 Qt",Storage,1,"25"",Box"
"Dictionary, Webster's, Paper, 65,000 Entries",Dictionary Webster Paper 000 Entries,1,
"Pencils, #2, Unsharpened, AO Wood, Dz",Pencils Unsharpened Wood Dozen,Multiple,
"Glue Stick, Staples Brand, W?Nle, White, 26 n7",Glue Stick Staples Brand White,Multiple,
"Eraser, Pink, Large, Latex Frc:c"
"Markers, Washable, Classic Colors, Wide Tip, 8/Set",Markers Washable Classic Colors Wide Tip Set,Multiple,
"Scissors, 5"", Pointed Tip, Latex Frcc,",Scissors Pointed Tip Latex,Multiple,"5"""
"Pencil Box, Plastic, 8.25"" x 5.25"" x 2"", Asst.",Pencil Box Plastic Asst,1,"25"""
"Folders, Poly, 2 Pkt/Prong, 5Pk, Be/Rd/Gn/Yw/Pu"
"Folder, Poly, 2 Pocket, w/Prong, Orange",Folder Pocket,1,Orange
"Filler Peer, Wide Rule, 10.5' x 8"", 120/Pk",Filler Peer Wide Rule 120,1,"8"""
"BULK Copy Paper, 20 Ib, 8.5"" x 11"", 500/Pk, White",BULK Copy Paper 500,1,"5"",White"
"Notebooks, Spiral, 4Pk, WR, 70Ct, Be/Rd/Gn/Yw",Notebooks Spiral,Multiple,
"Notebooks, Spiral, 5Pk, WR, 70Ct, Be/Rd/Gn/Yw/Pur",Notebooks Spiral,Multiple,
"Pen, Stick, Medium Point, Blue",Pen Stick Medium Point,1,Blue
"Pen, Stick, Medium Point, Red",Pen Stick Medium Point,1,Red
"Ruler, 12"", Plastic, Inch & Cm, Center Holes, Asst."
"Crayons, Crayola, Tuck Box, 24/Box"
"Pencils, C-olored, 7"", Sharpened, 12/Set"
"Farl TT -e, 'Scotties', Hypo -Allergenic, 200 Ct."
"ORM-D-Hai nd Sanitizer, Antibacterial, Gel, Flip Top, 8 oz.",Sanitizer Antibacterial Gel Flip Top ounce,1,
"Markers, Dry Ef ase, Chisel, Low Odor, Asst 4/Pk",Markers Dry Chisel Low Odor Asst,Multiple,
"Drawing Paper, 9"" x 12"", Manila, 50/Pk"
"Construction Paper, 9"" x 12"", 50/Pk, Asst.",Construction Paper Asst,1,"9"""
"Index Cards, 3"" x 5"", Ruled, 100/Pk, White",Index Cards Ruled 100,Multiple,"3"",White"
"Wipes, Disinfect, Bleach Frcc, Canister, 35 Ct."
