Input,Product,Quantity,Tags
rnychesterf ieldschools.corn,corn,1,
2017401B BOMLY L1878
niarfillant R)AAE [AWL •VE.yn1INe1 and 4NIN(I W1PPlJFA 10) QBNSNrsTM1,AWL ,1,
2 pink bar m•ers,bar,2,pink
1 .mall pencil,mall pencil,1,
2 red pen.,pen,2,red
1 thin dry sous markers,thin dry sous markers,1,
2 package of 100 ruled Index card. (3 x 5),100 ruled Index card,2,"3 x 5,package"
1 box of colored pencils (classic colors),colored pencils,1,box
"21 02 xtl,{my sharpened pencils (pleas put in • sfploe bag and .rite child's name on the We",sharpened pencils,21,
1 born of crayons- 24 count,born crayons,1,
set of (f.11 colored markers (classic colors),colored markers,Multiple,set
.et of watercolor paints (A basic),water color paints,Multiple,
"scissors, sharp pant",scissors sharp pant,Multiple,
school box. plume. 5X4 •.t7,box plume,1,
.._ pen pouch (fu m e)
clapboard,clapboard,1,
"—.tan boob, .--. black/white",tan boob black white,1,
Journal style c-- book. 'h page ruled/ K page blank,Journal style book page ruled page blank,1,
"3 obyt pocket folder with bottom podela only, no prong. One in blue, one in yellow. and",pocket folder,3,
2 yellow highlighters,highlighters,2,yellow
"doe sucks (Ines are to be shared, do not write mows an them(",doe sucks,Multiple,
over the oar headphones (not ear bury to plug into
Ietrt
1 box of booties,booties,1,box
1 bin 014.110n and 1 box of _.__:_. imd siplcc bap,bin 04 ,1,box
Baby wipes,Baby wipes,Multiple,
Sanitising Wipes,Wipes,Multiple,
4
10
1
"alsopjkaase- 0IEAAE IAS,I. EV4QYr111N[1"
1 Clipboard,Clipboard,1,
G A awn,awn,1,
1 — 5:
Aesi.ment
Pads (Age-.A..1
will be
r to
each student
by our P.T.A.
one In rd.
. in labeled bagg(e
