Input,Product,Quantity,Tags
GRADE 1
"3 :. 2 -coup: #2 :pencilis,",coup,3,
s: gar :�enec,gar,1,
:arge size sal,size,1,
2 r&. :pens,pens,2,
' • Zi; higi:ers
y&Iow �
:.2 1.arge gl ue sl;icl is or 24
2 24 :?:cs. Crayo.a crayons,crayons,2,
8 -count cers
6 pin{ erasers,pin erasers,6,
":?air 5"" scissors — gooc.",air scissors,Multiple,"5"""
W/;poc.cei:s & :prongs,prongs,Multiple,
"in ue, r&., green & ye. ,ow"
"z. coin Position Soo: CS, :. ea. J..ue, rec.,",coin Position rec,1,
"green, yeow, wk .e ru..e"
Crayoa wal:ercol.or set —:.6 semi-,semi,1,set
iuoist oval. ans,oval ans,Multiple,
"2 ro:.: ,s paDer 1:owe:.s",owe,2,
container Corox wipes,wipes,Multiple,container
"Coor& encl. s, 2-24",encl,24,
"Pa,er, 50 count, wide ru:.e"
"3x3 si:xcicy notes, 2 ?ad<",notes,Multiple,3x3
'pottle hand soap,hand soap,1,
"eac: 1 Zip p: oc bags::. ;a: on (girs),",Zip bags,Multiple,
"snac, c anc . sandwic: i size (:)oys)",size,1,
Privary Jouruia
)rjffiat'y Coinposil:ion 200,ion,200,
C
