Input,Product,Quantity,Tags
ACfM RE ANGUS MINI RVA GOLD 4193RIA00 05 2900 KG
"IACEM FRA(IONADO ANGUS IRS RESTRIA00 R5 733,00 KG"
ASSADO 01 101AS U IANI) IRO ANGUS RS 37.00 KG,ANGUS,1,
"ICONTRA 3(13 RIMS RASSI RS 333,00 001"
"(09!04 101 R 01s MINI RVA 6010 RI SIRIA00 R$ 42,00 KG",MINI 6010,09,
"!CONTRA FILE I RA(IONADO ANGUS MINERVA GOLD RI53RIAD0 05 47,00 KG",CONTRA FILE,Multiple,GOLD
CON 1R A 11)1 'RA(1ONADO MONTANA RIS1 RIAU0 RS 31.00 06,CON,1,
"CONTRA 31)1 IRACIONA00 SWIFT BLACK RESIRIADO RS 49,50 KG",SWIFT,1,BLACK
"(05)) IA I RI4AS SWII I BLACK R5 70,00 KG"
19103(071 MATURATTA R(SFRIADO RS 1000 KG
"10.T111(OTI MINI RVA GOLD RI SI RIA00 RS 49,00 KG,"
"FILE MIGNON ANGUS MARFRIG RESFRIADO R$ 44,00 KG",FILE MIGNON ANGUS,1,
3RAL0IN0A ANGUS MARFRIG RISE/11400 175 3900 KG,ANGUS RISE 11400 175 3900,3RALINA,
"ERALDINHA BIEI 5 MARF RIG %LOEISSIONAL R5 36,00 KG",RIG,1,
"FRAl01NH4 CON/RARIA GRILL RESERIADO R$ 14,00 KG",CON GRILL,1,
"ERAIDINMA MATURATTA RESFRIADO 331 17,00 KGI"
"30400!9X4 MINI RVA DIA A DIA 4(9334400 R$ 11,90 KG",MINI,30400,
"MAMINHA ANGUS MARFRIG 33E1(RIA00 335 37,00 KG!",ANGUS,33E1,
"MAMINHA BASSI RISERIAD° R5 33,00 KG"
"I MAMINHA CONEMRIA GRILL RES(RIADO 331 14,00 KGI",GRILL RES,Multiple,
RICANHA RA59) RBI RIADO RS 60.00 ■G,RBI,1,
"RICANHA RIFE 5 SWIFT BLACK 335 41,00 KG",RIFE SWIFT 335,1,BLACK
"RICANXA MINERVA 6010 ANGUS RESFRIADO RS 69,00 KG",MINERVA 6010 ANGUS,1,
"%CANNA MINERVA GRILL RE53RIA00 RS 45,00 KG",MINERVA GRILL,1,
RICANHA MINERVA MATURADA RESFRIADO 115 47.00 KG,MINERVA 115,1,
RICANHA MONTANA RES(RIADO 135 46.00 KG,MONTANA RES,Multiple,
RICANHA URUGl1A1A LA MOROCMA 8351 RIAD0 R5 9000 KG
"!RICANHA URUGUAIA LAS PIEDRAS RESFRIADO 05 57,00 KG",LAS,Multiple,
RICANHA URUGUAIA TACUAREMBO ANGUS RES/RIAD° RS 59.00 KG,ANGUS RES,Multiple,
' 4145 ANGUS MARFRIG RS 31.00 KG,ANGUS,4145,
SHORT RIBS SWI3 i BLA(K RS 31.00 KG,SHORT RIBS,1,
'SHOULDER STEAK MINERVA GOLD)OAOUETE) RESFRIADO RS 18.00 KG
"TIBONE ANGUS MARFRIG RS 53,00 KG",ANGUS,1,
COKAO DURO If ( BASSI WAGYU RS 36.00 KG'
CORA(AO DA ALCATRA BASSI WAGYU 115 70.00 KG,CORA,Multiple,
I NIRI( P3)A BASSI WAGYU RISFRIADO 115 134.00 KG
RATINH083FE5 BASSI WAGYU RS 35.00 KG
