Input,Product,Quantity,Tags
welths
"2 son `�,;� notes",son notes,2,
"• f,►,,i► in"
f St �•ders
2
�. S of s tab,tab,1,
"(;r;,dr rd co"
3 -1 '/inch ha,inch,3,
Louse -leaf Parer,Louse leaf Parer,1,
Graph rarer,Graph rarer,1,
8 dividers,dividers,8,
5 dividers ooks,dividers,5,
3 spiral note,spiral note,3,
4 folders,folders,4,
1 red pea,pea,1,red
2 black or blue pens,pens,2,"black,blue"
Whiteout,Whiteout,1,
Hole puncher •,Hole puncher,1,
Post its,Post its,1,
1 highlighter,highlighter,1,
1 homework pad,homework pad,1,
General Supplies List Grades 7,General,7,
"Pens (Black, Blue and Red)",Pens,Multiple,Blue
Pencils,Pencils,Multiple,
n - -
loose-leaf,loose leaf,1,
