Input,Product,Quantity,Tags
SECOND GRID,GRID,1,
7 marble composition notebooks,marble composition notebooks,7,
6 pkgs. No. 2 pencils (pre -sharpened),pencils,6,
4 boxes crayons (24 c}),crayons,4,boxes
12 glue slicks,glue slicks,12,
1 full sized backpack - NO WHEELS,full sized backpack WHEELS,1,
4 highli9h+ers
2 pair scissors,scissors,2,pair
*2 LARGE zippered pouches (No plos{k boxes),LARGE zippered pouches,2,
*3 daa♦tc. two pocket folders with brads or clips,two pocket folders,3,
2 pink rec4an9ular erasers,erasers,2,pink
6 low odor dry erase mad;. (brood 3ip),low odor dry erase mad,6,
1 pk . wide ruled no+ebook paper,pack wide ruled paper,1,pk
"1 ruler, inches and centim. ;",ruler inches ,1,
1 pack of 25 sheet p...4 c}ors,sheet ors,1,pack
1 package sticky noses,sticky noses,1,package
*Headphones �4D EARBUDS),Headphones EARBUDS,Multiple,
Quart/sandwich resealable bags,Quart sandwich resealable bags,Multiple,
Tissues,Tissues,Multiple,
"""Please label gym; vrt 11 vow child'; :�..._"
