Input,Product,Quantity,Tags
C- Oracle supply Lis+,Oracle,1,
"r, -r- pencils",pencils,Multiple,
GP blue orb k,orb,1,blue
2- c ' rt color pens (ink) -or cry 1 - and ediiiin9,color pens cry ,2,
4- jumbo book coves.,jumbo book coves,4,
"package 0? -~4, oC colored penes and sharpie rnurkcr",colored and sharpie,4,package
3 c r r�rent color dry erase mark,rent color dry erase mark,3,
3 d� ��. color ti,color,3,
Co s+urdv pocket Polders (with holes that Cit into a binder'),pocket,1,
"2- composition nt,; ooks",composition,2,
2 - i pi inch birx i,inch,2,
4- pM ks oP binder paper (not college ruler),binder paper,4,
i packnle o. ctwidc (Co dmcl6i are needed)
Calculator,Calculator,1,
"ruler, glue, 23 rolls o. +ape",ruler glue ape,1,rolls
•
2 boxes o P *;-:Jes,Jes,2,boxes
2 containers a WiFC
Aorrie:)
