Input,Product,Quantity,Tags
q000 Boost f,Boost,1,
4:01 AM
w4.ausd.net,net,1,
4 75% WV
4 composition notebook. black marble. 6 •,composition notebook marble,4,black
-
1011 count
"2 pkg. 9X12 construction paper, 1 -",construction paper,2,pkg.
assorted. 50 count,assorted,1,
2 - box crayons. 24 count 1 -,crayons,2,box
"4 eraser, pink pearl",eraser pearl,4,pink
4 plastic folders with brads,plastic folders,4,
"(1 (u blue. green, red. yellow)"
8
2 - bottle whitc glue. 4 oz. I -,glue ounce,2,bottle
4 glue stick 4,glue stick,4,
"1 pkg. markers, washable. wide tip. g",markers washable wide tip,1,pkg.
count. classic colors,classic colors,Multiple,
2 pkg. 9X12 manila paper. 50 count 1,manila paper,2,pkg.
3-
"2 - pkg. I2X I8 manila paper, 50 count",manila paper,2,pkg.
"2 pkg. notebook paper. wide rule,",notebook paper wide rule,2,pkg.
200 count
24 #2 pencils,pencils,24,
I ruler. metric & inches,ruler metric inches,Multiple,
2 bottles of hand sanhncr,hand,2,bottles
"I - scissors, sharp",scissors sharp,Multiple,
24 -
4
c
3 box tissue,tissue,3,box
