Input,Product,Quantity,Tags
516 Supply list
Turn in to tables in Intermediate hallway
1 black sharpie,sharpie,1,black
1 roll of paper towels,paper towels,1,roll
"2 pkg (8ct) 14"" x 22"" poster board (WaI-Mart has 8 packs)",package poster board,2,"14"",pkg"
1 pkg Wide ruled paper,package Wide ruled paper,1,pkg
"1 box (24ct) #2 pencils (prefer Ticonderoga or USA Gold, other brands just shred",pencils,1,box
in the sharpener and lead breaks)
1 3pack of Kleenex large boxes,Kleenex large,1,boxes
6 Glue sticks,Glue sticks,6,
1 spiral notebook for Art,spiral notebook,1,
Keep
Bible
Gym shoes (may wait to purchase until know when your student will have gym),Gym shoes,Multiple,
1 pkg wide ruled paper,package wide ruled paper,1,pkg
Pencils and lead (if mechanical),Pencils and lead,Multiple,
1 pkg Crayola or Rose Art markers,package Crayola Rose Art markers,1,pkg
1 pkg colored pencils,package colored pencils,1,pkg
Scissors,Scissors,Multiple,
2 highlighters — yellow and other,highlighters and other,2,yellow
1 pkg red pens,package pens,1,"pkg,red"
1 big eraser or pkg of pencil top,big eraser package pencil top,1,pkg
Zipper pouch for supplies,Zipper pouch,1,
NO CALCULATOR NEEDED,CALCULATOR NEEDED,1,
Organizational supplies
"3"" D ring Binder OR Trapper keeper"
(recommend Case It from Staples) with
zipper and strap (pictured above),zipper and strap,1,
2 each Composition Books — Green (Science) Red (Math) and Purple (History),each Composition Books Science ,2,"Green,Red,Purple"
"1 each Composition Books — Blue (Bible) Yellow (English), any color (Spelling)",each Composition Books Bible English any color,1,"Blue,Yellow"
Accordion File with 6 or more slots (unless one included in trapper keeper),Accordion File,1,
OR - IF NOT PURCHASINGA TRAPPER KEEPER: 1 each individual 2 POCKET
"FOLDERS no brad in green, red, purple, blue, yellow, and one ANY COLOR (6 total)"
