Input,Product,Quantity,Tags
4 Grade apply List for 2017-2018,apply,4,
P S 121:
"The T hroo School,"
"�� P ol, 6 NY"
"i,"
-- - r.. /. - -•
"o 4- 2 pocket folders (,1 green, l yellow, l blue, and 1 orange)",pocket folders,Multiple,
o 1 Accordion s i yle folder (make sure it has at le-'st 6 pockets),Accordion folder,1,
o A 'pocket -sized' dictionary and thesaurus (all -in -one reference tool),pocket sized dictionary and thesaurus,1,
"o 1 yellow notepad (8.5"" x 11"")",notepad,1,"5"",yellow"
o A box of pencils (Absolutely NO mechanical pencils!),pencils,Multiple,box
o 1 red pens,pens,Multiple,red
o 1 blue pens,pens,Multiple,blue
o highlighters 2 hi hli hters (different colors),highlighters,Multiple,
o A ?ackage of glue sticks,glue sticks,Multiple,
"crayons, or co incils",crayons,Multiple,
o One set of tray • is boxes are
� lies I,lies,Multiple,
o A sma �
"nci case to ho 'c  supplies ,No metal or plant",case metal plant,1,
desk),desk,1,
(cm) and inches (�n),and inches,Multiple,
centimeters,centimeters,Multiple,
o A ruler wit,ruler wit,1,
:ior home use),home use,1,
A protract°r I7ioto,protract,1,
err
