Input,Product,Quantity,Tags
"""Or gut We. ....,,�",gut,1,
wanted to make sure you are aware of
your child will need next year in first grade.
tcike advantage of the summer sales on. school
INOIVIDVAL supplie
1 box of #2 Ticonderoga pencils,Ticonderoga pencils,1,box
r 1 box of CRAYOLA markers,CRAYOLA markers,Multiple,box
2 highlighters (any color),highlighters,2,
4 Dry Erase Expo Markers,Dry Erase Expo Markers,4,
V 1 box of CRAYOLA 24 -count crayons,CRAYOLA crayons,Multiple,box
r 2 large glue sticks,large glue sticks,Multiple,
1 backpack,backpack,1,
r 1 ruler (for use at home),ruler,1,
r 2 marble composition notebooks (see a,marble composition notebooks,Multiple,
If Hand Sanitizer,Hand Sanitizer,1,
r Tissues,Tissues,Multiple,
r Clorox Wipes,Clorox Wipes,Multiple,
r paper Towels,paper Towels,Multiple,
