Input,Product,Quantity,Tags
• 3inc er wit i civic ers,wit civic,3inc,
• Loose-leaf ?a per
• 5 subject no:eboo < wits foder a,subject wits,5,
• 2 marb'e notebooks,notebooks,2,
• 3 foCerS
• 10 sheet protectors,sheet protectors,10,
• Package of graph paper,graph paper,Multiple,Package
• Post -it notes,Post notes,Multiple,
• Peric[I sharpener with a I'd
• Package of penc15
• Package of blue or b'ack pens,pens,Multiple,"Package,blue"
• Box cf tissues,tissues,Multiple,Box
• 2 different colu highlighters,different highlighters,2,
