Input,Product,Quantity,Tags
4th Grade
Quantity in,Quantity,1,
eaches Description,Description,1,
"15 Marble Notebook Wide Ruled Composition Book, 100 ct., Black",Marble Notebook Wide Ruled Composition Book 100,15,Black
"1 Crayola® Colored Pencils, Full Length, Sharpened, 12 ct.",Crayola Colored Pencils Full Length Sharpened,1,
"1 Crayola® Washable Markers, Classic, Broad Tip, 8 ct.",Crayola Washable Markers Classic Broad Tip,1,
"10 2 Pocket Paper Portfolio, Assorted",Pocket Paper Portfolio Assorted,10,
"3 Wide Ruled Filler Paper, 8"" x 10%"", 3 -hole punched, 200 sheets, Made in the USA"
"5 Pink Pearl® Eraser, Latex -Free",Pearl Eraser Latex Free,5,Pink
"3 Elmer's® Small Washable All Purpose School Glue Stick, .21 oz.",Elmer Small Washable All Purpose Glue Stick ounce,3,
"1 Sketch Book, Top Spiral, 9"" x 12"", 30 sheets",Sketch Book Top Spiral sheets,1,"9"""
5 #2 Wood Case Pencil,Wood Case Pencil,5,
"4 Kleenex® Facial Tissues, 85 ct.",Kleenex Facial Tissues,4,
"4 Disinfecting Wipes, Pop-up Canister (for surfaces, not for hands), 35 ct.",Disinfecting Wipes Pop,4,Canister
"1 Hand Sanitizer with Pump, 8 oz",Hand Sanitizer,1,
"2 Elmer's® Washable School Glue, 4 oz.",Elmer Washable Glue ounce,2,
"1 Sterilite® 6 Quart Rectangular Storage Container w/ Lid, Clear, Shoe Box Size, 13 5/8"" L x 8 1/4"" W x 4 7/8"" H",Quart Rectangular Storage,1,"8"",Container,Box"
"5 Expo® Low Odor Dry Erase Markers, Chisel Tip, 4 ct., Assorted Colors (Black, Blue, Green, Red)",Expo Low Odor Dry Erase Markers Chisel Tip Assorted Colors,5,
"4 Scott Mega Roll Choose -a -Size Paper Towels, Single Pack, 102 sheets, White",Scott Mega Choose Size Paper Towels Single Pack 102 sheets,4,"Roll,White"
Added,Added,1,
1 Protractor,Protractor,1,
"1 Ruler, 12 inches",Ruler inches,1,
"2 Ziplock bags, 1 quart sized",Ziplock bags quart sized,2,
1 Scissors blunt -tip,Scissors blunt tip,1,
•
