Input,Product,Quantity,Tags
THE ALICE AU'STEN SCHOOL
Donne Bon•nno. Principal,Donne Principal,1,
*n itLa W \.v1 111111
M1n •❑•wl ��. ... p✓a ... �.. '111.104,111,104,
U_. Orr r..ay.l ro...• err. Mee'. •w.Y Dame M,Orr err Dame,1,
Fourth Grade Sunoly list
• 12 hard covered notebooks - No binders or trappers Ireton,hard covered notebooks binders trappers,12,
Mead!Scholastic notebooks),Mead Scholastic notebooks,Multiple,
"• 3 packages of loose-leaf paper (wide ruled) - 2 for school,",loose leaf paper,3,packages
• 1 package of white copy paper,copy paper,1,"package,white"
• Package of t2 pencils (no lead pencils please),pencils,Multiple,Package
• 1 supply box
• 1 package of assorted colored construction paper,assorted colored construction paper,1,package
• 12 folders (with pockets),folders,12,
• 1 box of gallon size baggies,size baggies,1,"box,gallon"
"• Crayons, markers. colored pencils, scissors. tape, glue still"
inch ruler,inch ruler,1,
• 1 erasable marker with a clean sock or eraser (Dry Erase or,erasable marker,1,
• 1 art smock (an old shirt is fine),art smock,1,
• Several packages of Post -Its (to be replenished throughout,Several Post Its,1,packages
• 2 boxes of tissues,tissues,2,boxes
• 2 rolls of paper towels,paper towels,2,rolls
• 2 packages of baby wipes,baby wipes,2,packages
• 1 bottle of hand saniuzer,hand,1,bottle
"Students need to be able to carry supplies on their own, so"
"send in a few items at a time. However, please have notebo"
oencik sent in as soon as possible.
