Input,Product,Quantity,Tags
• Pencils or Pen with and eraser
• 2 Compositions per Quarter,Compositions per Quarter,2,
• 1 folder per Quarter,folder per Quarter,1,
• Pack of flash cards,flash cards,Multiple,Pack
• A box of tissues each Quarter
• 5 black and white composition boo <s,and composition boo,5,"black,white"
• 4 two pocket folders 1 box of in < Dens,two pocket folders Dens,4,box
• Merriam -Webster collegiate dictionary and thesaurus,Merriam Webster collegiate dictionary and thesaurus,1,
• Highlighters,Highlighters,Multiple,
"• 8""X11"" drey erase boarc mar <ers",erase mar,1,"8"""
• Coi'orec' Denci s
• 2 pacs inc'ex cares,inc cares,2,
• pacs & inec Da Der,Der,1,
• 2 lboxes i ' e o sanijzer
