Input,Product,Quantity,Tags
4 Waco Expo markers (dry erase),Waco Expo markers,4,
1 pack white index cards kind),index cards kind,1,"pack,white"
",mss I boat Kleenex 1 bvL:.te of E",boat Kleenex,1,
1 Oor�ox wipes ( ) 1 package c
1 package
1 hand santtiter (girls),hand,1,
1 book bai,book,1,
bag ***Soul,bag Soul,1,
4th Grade 1
20 count box of No. 2 pencils l *One 13+,pencils One,20,box
2/rah) 4 pack of Dry Erase Markers *Pencils,Dry Erase Markers Pencils,4,pack
Box of K7c nex *Two p:
Bottle of Hand Sanitizer *Six coi,Hand Sanitizer Six,1,Bottle
Pack of Large Erasers 'Two f,Large Erasers Two,Multiple,Pack
5 Composition Notebooks *Four,Composition Notebooks Four,5,
1 Pad( of Post -It Notes yeitovi,Pad,1,
*One
Optional: *One,Optional,One,
"Pencil pouch, blue or black ballpoint pens,",Pencil pouch ballpoint pens,Multiple,"blue,black"
"highlighters, dry erase eraser, three-ring binder, GATE"
"loose-leaf paper, pack of Index cards, *One",loose leaf paper Index cards,One,pack
"pack of 24 Crayons, pack of colored pencils, *OnE",Crayons colored pencils,OnE,"pack,pack"
"pack of colored markers, folders with clips, *Earl",colored markers folders,Multiple,pack
"bottle and stick glues, ruler with standard and metric"
"measurements, pair of scissors Optih",measurements scissors,Multiple,pair
penci
