Input,Product,Quantity,Tags
SHAKER JUNIOR HIGH SCHOOL,SHAKER JUNIOR HIGH,1,
HOUSTON HALL,HOUSTON HALL,1,
GRADE 8 SUPPLIES
HALL. COLOR — RED,HALL COLOR,1,RED
2017-2018
We strongly recommend that students follow a color -code
system and binders. A color -code system helps students quickly Io to orgy
"students with the correct Fling of handouts, homework, and othet c1 tit .jaj S'eU d f"
please t to purchase necessa materials according to the sugg b l geriad whc d f �I a
ENGLISH — Red ode col ° P assists,ENGLISH ode col assists,Multiple,Red
SOCIAL STUDIES — Dark Blue SCI r'�0d ayst supplies
MATH —Black LANGUAGES — Light Blue SCIENCE Creep,Black LANGUAGES Light SCIENCE Creep,Multiple,Blue
TECH/ART/FAMILY & CONSUMER SCIENCES —,TECH ART FAMILY CONSUMER SCIENCES,1,
Any Color or Des' HEALTH
_ Yep°w,Yep,1,
MATH (BLACK) Design
• CALCULATOR TI- 34 MultiView — For Math 8,CALCULATOR F,8,
• PENS AND PENCILS PLUS OR TI -84 PLUS — For Algebra
• 1 INCH BINDER,INCH BINDER,1,
• LOOSE LEAF PAPER,LOOSE LEAF PAPER,1,
• 2 DRY ERASE MARKER,DRY ERASE MARKER,2,
• DIVIDERS (5),DIVIDERS,Multiple,
SOCIAL STUDIES (DARK BLUE)
• HIGHLIGHTERS,HIGHLIGHTERS,Multiple,
• BINDER (3 RING — BLUE) •BINDEER CAN BE SHAR
• COLORED PENCILS,COLORED PENCILS,Multiple,
• PENS AND PENCILS ED WI ENGLISH,PENS AND PENCILS ENGLISH,Multiple,
• WHITE LINED LOOSE-LEAF PAPER,LINED LOOSE LEAF PAPER,1,WHITE
ENGLISH (RED)
• FOLDER WITH POCKETS
• PENS AND PENCILS,PENS AND PENCILS,Multiple,
• HIGHLIGHTERS,HIGHLIGHTERS,Multiple,
• POCKET PENCIL SHARPENER,POCKET PENCIL SHARPENER,1,
• LOOSE LEAF PAPER,LOOSE LEAF PAPER,1,
• BINDER (3 RING) 'BINDER CAN BE SHARED WIT
• DIVIDERS H SOCIAL STUDIES,DIVIDERS SOCIAL STUDIES,Multiple,
SCIENCE AND EARTH SCIENCE (GREEN),SCIENCE AND EARTH SCIENCE,1,
• #2 PENCILS,PENCILS,2,
• CALCULATOR (CAN USE ONE REQUIRED FOR MATH N -,CALCULATOR,1,
• HIGHLIGHTERS )( ON GRAPHING CALCULATOR),HIGHLIGHTERS,Multiple,
• FOLDER WITH POCKETS GREEN
• GRAPH PAPER,GRAPH PAPER,Multiple,
"• 1"" 3 -RING BINDER (1 SUBJECT) GREEN",RING BINDER,3,"1"",GREEN"
• DIVIDERS,DIVIDERS,Multiple,
ENGLISH ASAN LANGUAGE (ENL),ENGLISH LANGUAGE,1,
• BINDER,BINDER,1,
• DIVIDERS • HIGHLIGHTERS,DIVIDERS HIGHLIGHTERS,Multiple,
• COMPOSITION NOTEBOOK,COMPOSITION NOTEBOOK,1,
HOMEROOM,HOMEROOM,1,
• EACH STUDENT MUST HAVE ONE BOX OF PLAIN WHITE UNSCENTED TISSUES
"Please note: In order to fit in the locker, it's best to use as narrow a binder as possi with a flat"
sleeve (n z no decorative material bulging f th sleeve of the binder).,sleeve,1,
