Input,Product,Quantity,Tags
❑ Pencil box ❑ Blunt -tipped scissors,Pencil Blunt tipped scissors,Multiple,box
❑ Crayons ❑ Plastic folders,Crayons Plastic folders,Multiple,
❑ Colored pencils ❑ Assorted construction,Colored pencils Assorted construction,Multiple,
❑ Washable markers paper,Washable markers paper,Multiple,
0 Wide -ruled notebook,Wide ruled notebook,1,
❑ No. 2 pencils or paper,pencils paper,Multiple,
❑ Ballpoint pens ❑ Index cards,Ballpoint pens Index cards,Multiple,
❑ Pencil sharpener 0 Tissues,Pencil sharpener Tissues,Multiple,
❑ Erasers 0 Backpack
❑ Glue sticks 0 Lunchbox or bag
0 Ruler,Ruler,1,
