Input,Product,Quantity,Tags
Q 100 pencils,100 pencils,Multiple,
D 5 flexible poly 2 pocket folders with r,flexible pocket folders,Multiple,
p ongs 1 of each
"color: blue, purple, yellow, red and green (You can",color blue purple yellow ,1,"red,green"
purchase a pack of 5 at Target),purchase Target,1,pack
D 5 marbled composition notebooks,marbled composition notebooks,Multiple,
"❑ 7 binder (durable, 7 inch)",binder,7,
D /-leadphones (labeled in a plastic bag)
0 /Markers,Markers,Multiple,
Q Crayons,Crayons,Multiple,
t*****************************************
"0 , path or expo dr j -erase markers*",path expo erase markers,Multiple,
Cl pack of wide ruled loose leaf paper*,wide ruled loose leaf paper,1,pack
❑ 6 glue sticks*,glue sticks,6,
❑ ' boxes of Kleenex*,Kleenex,1,boxes
0 1 bottle of soap,soap,1,bottle
t em
*These items s will be collected for classroom communit9 u5e.
