Input,Product,Quantity,Tags
1 Backpack: big enough to fit folders,Backpack big enough fit folders,1,
de a Ziploc bag with students name on it,Ziploc bag,1,
2) Change of clothes ►ns►,Change clothes,Multiple,
3) 2 plastic folders,plastic folders,2,
4) 2 Primary Composition Notebooks (Can be found at Staples),Primary Composition Notebooks,4,
1 Composition Notebooks,Composition Notebooks,1,
5) 6 glue sticks,glue sticks,6,
6) 1 bottle of glue,glue,1,bottle
7) 1 package of erasers,erasers,1,package
8) 1 box of crayons,crayons,1,box
9) I box of washable markers,washable markers,Multiple,box
10) 1 package of dry erase markers,dry erase markers,1,package
11) 1 package of construction paper,construction paper,1,package
12) 1 package of 4 pack of play dough,play dough,1,"package,pack"
13) Post -its,Post its,1,
14) 2 rolls of bounty,bounty,2,rolls
15) 3 package of baby wipes,baby wipes,3,package
16) 2 anti- bacterial hand sanitizer,anti bacterial hand sanitizer,2,
17) 2 boxes of tissues,tissues,2,boxes
18) Girls 1 package of gallon sized Ziploc bags,Girls sized Ziploc bags,Multiple,"package,gallon"
Boys- 1 package of quart sized Ziploc Bags,Boys quart sized Ziploc Bags,Multiple,package
