Input,Product,Quantity,Tags
1 box of Expo Dry Erase Markers,Expo Dry Erase Markers,1,box
1 fine tip black Sharpie Marker for Art class,fine tip Sharpie Marker,1,black
2-3 boxes of # 2 pencils,pencils,2,boxes
2 small bottles of glue,small glue,2,bottles
4 glue sticks,glue sticks,4,
1 pair of scissors,scissors,1,pair
"2 small boxes of crayons, 16 or 24",small crayons,2,boxes
1 small crayon/pencil box,small crayon pencil,1,box
"1 sturdy plastic pocket folder for a ""Take Home Folder""",sturdy plastic pocket folder,1,
"1 1 inch white, clear view 3 ring binder",inch white clear view ring binder,1,
2 spiral notebooks (1 for a Classroom Journal and 1 for a l,spiral notebooks,2,
2 boxes of tissues,tissues,2,boxes
Ziploc baggies (1 large and 1 small),Ziploc baggies,Multiple,
"1 large )in,!( eraser",large,1,
2 containers of ..yso wipes,wipes,2,containers
1 ream w lite co ay )a per
"**1-2 sets lea ) tones t comi,u er",tones,Multiple,sets
"... ... .. r•,. _ En..�... _.... . 47 (Y nt Peal"
