Input,Product,Quantity,Tags
Grade: 3
CRAYOLA COLORED PENCILS PRE -SHARPENED 12CT,CRAYOLA COLORED PENCILS SHARPENED,12CT,
CRAYOLA CRAYONS 24CT,CRAYOLA CRAYONS,24CT,
PENCILS #2 YELLOW WOODCASE SHARPENED 12CT (5),PENCILS SHARPENED,12CT,YELLOW
CRAYOLA WASH MARKERS BROAD TIP CLASSIC COLORS 8CT,CRAYOLA WASH MARKERS BROAD TIP CLASSIC COLORS,8CT,
SHARPIE PERM MARKER FINE POINT BLACK,SHARPIE PERM MARKER FINE POINT,1,BLACK
SHARPIE PERM MARKER CHISEL TIP BLACK,SHARPIE PERM MARKER CHISEL TIP,1,BLACK
ELMER'S SMALL GLUE STICK PURPLE -DRIES CLEAR (8)
"FISKARS SCISSORS POINTED 5""",SCISSORS POINTED,5,"5"""
2 -POCKET FOLDER POLY W/OUT CLASP ORANGE,POCKET FOLDER OUT CLASP,2,ORANGE
2 -POCKET FOLDER POLY W/OUT CLASP BLUE,POCKET FOLDER OUT CLASP,2,BLUE
2 -POCKET FOLDER POLY W/OUT CLASP PURPLE,POCKET FOLDER OUT CLASP,2,PURPLE
2 -POCKET FOLDER POLY W/OUT CLASP GREEN,POCKET FOLDER OUT CLASP,2,GREEN
MEAD COMPOSITION BK (WIDE RULE) BLK 100CT 9.75X7.5 (4),MEAD COMPOSITION WIDE RULE,5,
PAPERMATE PEN STICK MED PT RED (2),PEN STICK MED,1,RED
EXPO LOW ODOR DRY ERASE MARKER CHISEL TIP BLACK (4)
PAPERMATE PEN STICK MED PT BLUE (2),PEN STICK MED,1,BLUE
•SELF STICK NOTES ASS'T PASTEL 3X3 100CT(4),SELF STICK NOTES ASS PASTEL,100CT,
PAPERMATE PINK PEARL LATEX -FREE ERASER (3),PEARL LATEX FREE ERASER,1,PINK
STENO PAD GREGG RULE WHITE PAPER 80CT 6X9,STENO PAD GREGG RULE PAPER,6X9,WHITE
