Input,Product,Quantity,Tags
GRAD 2,GRAD,2,
T
1 2 boX
"f_ ] of crayons, 24 count",crayons,Multiple,
148 # sharpe pink erasersd ne
pencils with erasers,pencils,Multiple,
]
n 1 pencil shar,pencil,1,
pener •with cover
C__] 6 large glue sticks,large glue sticks,Multiple,
El 1 ruler with centi,ruler,1,
meter and inch markings,meter and inch markings,Multiple,
"r� 1 scissors, blunt tip"
6 co
notebooks,notebooks,Multiple,
rnposition 2 pkg. notebook paper a,notebook paper,1,pkg.
"p p , (wide -ruled)"
D8 2 -pocket plastic folders,pocket plastic folders,Multiple,
LJ 2 Lysol/Clorox wipes,Lysol Clorox wipes,Multiple,
11] 2 large boxes facial tissue,large facial tissue,11,boxes
f 2 bottles hand sanitizer,hand sanitizer,1,bottles
Li 12 expo dry -erase markers,expo dry erase markers,Multiple,
"f 2 box Ziploc bags, quart"
"1 box Ziploc bags, gallon",Ziploc bags,1,"box,gallon"
"j 1 2 -inch, 3 -ring binder"
[J 1 earbud headphones,earbud headphones,Multiple,
"fTJ 1 box of colors, 48 count *",colors,Multiple,box
"rri 1 pkg. colored pencils, 12 count *",colored pencils,Multiple,pkg.
_ 1 pkg. 4 pack glue sticks *,glue sticks,1,"pkg.,pack"
