Input,Product,Quantity,Tags
Supply List- Ms. DosSantos
1 -s wAper . (Omsk mewl
l school Owner b mange and write -._-__
3 folders (EIA/MMN/lociel and science),folders,3,
bon of prices Iron....:_. V: puss),prices Iron puss,Multiple,
-1 ponce ow,ponce,1,
1 borne of Nee,borne,1,
-1 p.Oap of smell pal M roles,smell pal roles,1,
cniWen scissors,scissors,Multiple,
wars end crayons
3 package of loose lase,loose lase,3,package
•l bon of mwsn
"•1....,_:... W Dome wipe.",Dome wipe,1,
♦ bn sip lace bags,sip lace bags,Multiple,
PLEASE NO MOM - TeIET TAR( UP TOO MUCH NOON IN MDR DESK
