Input,Product,Quantity,Tags
•o( 0 AT&T 12:30 PM 60% M_.
medial.razorplanet.com,medial,1,
• Grade One
Bible (NIV purchased through Trinity $15)
1 Small Pencil Box to Hold Supplies,Small Pencil Hold,1,Box
1 Box of Colored Pencils,Colored Pencils,1,Box
1 Box of Crayons,Crayons,1,Box
1 Box Washable Colored Markers,Washable Colored Markers,1,Box
2 Boxes of Tissues (Standard Size),Tissues,2,Boxes
2 Big Erasers,Big Erasers,2,
1 Box of #2 Pencils (sharpened)*,Pencils,1,Box
"1 12"" Ruler with Inches & Centimeters",Ruler,1,"12"""
2 2 -Pocket Folders (for carrying homework),Pocket Folders,2,
2 Elmers Glue Sticks,Elmers Glue Sticks,2,
1 Pair of Safety Scissors (Fiskers for Lefties),Safety Scissors,1,Pair
Backpack,Backpack,1,
Separate Lunch Bag (if can fit into backpack),Separate Lunch Bag,1,
2 Large Containers Clorox Wipes,Large Clorox Wipes,2,Containers
2 Pkg. Expo Dry Erase Markers (for white,Expo Dry Erase Markers,2,"Pkg.,white"
boards),boards,Multiple,
1 Container Hand Saniztizer,Hand,1,Container
*Please keep a constant supply all year.
r
cl]
