Input,Product,Quantity,Tags
PRESIpENTIAL PARK SUPPLY LIST,PARK,1,
Here is a list of supplies you will need for kindergarten:
• 5 marble notebooks,marble notebooks,5,
• 1 package of Expo(dry erase),Expo,1,package
• 1 box of sharpened markers,sharpened markers,1,box
penc
• 1 plastic crayon b pencils,plastic crayon pencils,1,
• 1 folder y ox,folder,1,
• 1 box of 12 colored pencils,colored pencils,1,box
• 4 glue sticks,glue sticks,4,
• 2 boxes of tissues,tissues,2,boxes
• 2 boxes of Crayola crayons,Crayola crayons,2,boxes
2 glue bottles y,glue,2,bottles
Please be sure to label all items with your first and last
"name,",name,1,
