Input,Product,Quantity,Tags
1 Dear p,Dear,1,
"duns,",duns,Multiple,
Welcom to third I
grade! Listed below are the su
upcoming s ppl�
need for this u,need,1,
P g school y I am sure that we
great year of discovery and learning! are
.
Third Grade Supply List
2017 — 2018
• 5 marble notebooks,marble notebooks,5,
• 3 folders with,folders,3,
pockets,pockets,Multiple,
• 3 Boxes of # 2 pencil,pencil,3,Boxes
• 4 glue sticks,glue sticks,4,
• 3 packs of Post -it notes,pack Post notes,3,packs
• 1 pencil case,pencil case,1,
• 1 box of crayons or markers,crayons markers,1,box
• 1 set of dry erase markers (primary colors),dry erase markers,1,set
• 1 small pair of scissors,small scissors,1,pair
• 2 erasers,erasers,2,
• 1 pack of blue or black pens,pens,1,"pack,blue,black"
• 1 package of wipes,wipes,1,package
• 2 rolls of paper towels (boys),paper towels,2,rolls
• 2 boxes of tissues (girls),tissues,2,boxes
• 1 box of gallon size ziplocs (boys),size,1,"box,gallon"
• 1 box of sandwich size.ziplocs (girls),sandwich size,1,box
Optional
• SNACK,SNACK,1,
• 2 Highlighters,Highlighters,2,
• Colored pencils,Colored pencils,Multiple,
