Input,Product,Quantity,Tags
1 Pair of Fiskars scissors,scissors,1,Pair
"1 Box of Crayola brand crayons, 24 count",Crayola brand crayons,1,Box
1 Box of Crayola brand colored 12 count,Crayola brand colored,1,Box
"4 Packa es of # pencils, referred)",pencils referred,4,
g 2 pencil 12 count (Ticonderoga p,pencil,1,
4 Packages of cap erasers,cap erasers,4,Packages
"1 Nylon clear window zipper pouch, 3 holes",Nylon clear window zipper pouch holes,1,
"3 Packages wide -ruled notebook paper, 150 sheets",wide ruled notebook paper 150 sheets,3,Packages
"1 Box of Crayola washable markers, 8 count, wide barrel",Crayola washable markers wide barrel,1,Box
6 Vinyl folders with pockets and brads,Vinyl folders,6,
"4 Elmer's glue sticks, .77 oz",Elmer glue sticks,4,
"1 Bottles of Hand Sanitizer, 8 oz",Hand Sanitizer,1,Bottles
"3 Boxes Kleenex, 100 count",Kleenex 100,3,Boxes
"2 Containers of Clorox/Lysol wipes, 75 count",Clorox Lysol wipes,2,Containers
2 Highlighters (any color),Highlighters,2,
"1 1 1 -inch binder with clear view front pocket, 3 ring",inch binder,1,
"4 Marbled composition books, 100 sheets, wide -ruled",Marbled composition books 100 sheets wide ruled,4,
"1 Package of divider tabs, 3 ring",divider tabs ring,1,Package
"1 Package of sticky notes, 4 count (any color)",sticky notes,1,Package
"Girls Only: 1 box Ziploc quart bags, 1 pack index cards 4""x6"""
"Boys Only: 1 box of Ziploc gallon bags, 1 pack index cards 3""x5"""
