Input,Product,Quantity,Tags
Fifth Grade Suooly List
1- earbuds w/ wind-up case,wind case,1,
1- 3 subject spiral notebook,subject spiral notebook,1,
"8 - 2 pocket folders (blue, red, green",pocket folders,8,green
"yellow, purple, orange, black, white,)",yellow purple orange black white,1,
"2 - medium ball point pen, blue",medium ball point pen,2,blue
"1- disinfecting wipes, bleach free"
1- hand santizer,hand,1,
1 - pencil pouch fabric,pencil pouch fabric,1,
"1 - packs filler paper,white,wide ruled",pack filler paper white wide ruled,1,packs
5 - marble composition books,marble composition books,5,
"1 - scissors 7"" pointed",scissors pointed,1,"7"""
"24 - glue sticks, washable .74oz",glue sticks washable,24,
"2 - Kleenex, 200 count",Kleenex 00,2,
"2 - yellow highlighters, chisel tip",highlighters chisel tip,2,yellow
"2 - medium ball point pen, red",medium ball point pen,2,red
"4 dz - 82 pencils, sharpened",dozen pencils sharpened,4,
1- large pink erasers,large erasers,1,pink
"1- colored pencils, sharpened, 8 count"
"1- blk felt tip pen, fine point",felt tip pen fine point,1,
"1 - 12"" plastic ruler inch / cm",plastic ruler inch,1,"12"""
1 - 180 degrees protractor for home,degrees protractor,1,
No mechanical pencils please.,mechanical pencils please,Multiple,
