Input,Product,Quantity,Tags
FIRST GRADE
Ammilektilk
I 4 large pink erasers 2 boxes of tissues,large erasers tissues,Multiple,"pink,boxes"
"4 boxes of crayons (24 count) 4, 3 prong, plastic folders kprimary co\ors'",crayons prong plastic folders ors,4,boxes
8 large glue sticks 1 box of markers,large glue sticks markers,8,box
% 5 composition notebooks — not spiral 1 box quart re -sealable bags,composition notebooks not spiral quart bags,5,box
"es? ehDr, r' =, r rc 1 pencil box*",pencil box,1,
1 pair of scissors* Backpack*,scissors Backpack,1,pair
$2 for Dictionary 1 pkg. dry erase markers
4 dry erase markers,dry erase markers,4,
"$5.00 classroom fee forcortsu,4esi$",classroom,5,
