Input,Product,Quantity,Tags
i de01903704.schoolwires.net,net,1,
Kindergarten and First Grade,Kindergarten ,Multiple,
24 #2 pencils plain yellow 2 boxes of crayons,pencils plain crayons,24,"yellow,boxes"
1 pair of blunt scissors 6 pack of glue sticks,blunt scissors glue sticks,1,"pair,pack"
Pencil cast (First grade only) 2 two -pocket folders,Pencil cast two pocket folders,1,
2 Composition books (Kindergarten Only),Composition books,2,
Second Grade
"24 #2 yellow pencils, (no mechanical 1 box of crayons or colored pencils (no",pencils mechanical crayons colored pencils,24,"yellow,box"
pencils) will become shared classroom supply markers)
1 pair of blunt scissors (label with name) 6 pack glue sticks (no bottles),blunt scissors label,1,"pair,pack"
1 pencil zipper case (no box cases please) 3 two -pocket folders w/prongs inside (solid,pencil zipper case cases please two pocket prongs ,1,box
"colors, no designs)",colors designs,Multiple,
1 pack of eraser tops or large erasers (to share with class),eraser tops large erasers,1,pack
24 #2 Pencils — Plain yellow,Pencils Plain,24,yellow
1 pencil zipper case (no boxes please),pencil zipper case,1,boxes
Third Grade
1 box of crayons or colored pencils,crayons colored pencils,1,box
1 highlighter,highlighter,1,
