Input,Product,Quantity,Tags
••o< XFINITY Mobile Ss. 11:15 AM * 28% 1 -,Mobile,1,
seven-oak.Iebanon.k12.or.us
Lebanon Community Schools,Lebanon Community,1,
Seven Oak Middle School,Seven Oak Middle,Multiple,
_.(61111614116• Fan .(541)48141461,Fan 48141461,61111614116,
660 Cando Orb. • 06117666,Orb 06117666,660,
"Supply list for Grade i, 7 and •"
r Nader- NO 711691,Nader 711691,1,
6W NMI POI.... 3 block •blue,POI block blue,6W,
G1.r.d -- fa
Colored merlon- anri y,Colored,1,
Ohm Ado -3,Ohm Ado,3,
uM ldrr/-6
Orr -erase ardor/ -a,Orr erase ardor,1,
33 rr.r- H
total-rM are .a lm/ -160.1,total are 60,1,
ledr - daM hakes add
)dear.,dear,1,
Pend pad • Ilp.md,Pend pad,1,
- pod.; Md. el le,pod,1,
tats rMd roe
• Folder .40 pathos-),Folder pathos,1,
• Mn/a6e sold winds -1
look,look,1,
'- - P3P (weepy orlon- a3adad
"srgld parer - (r and r erode - 1, « grade - 3)",parer,1,
- Wide subject - 30,Wide subject,30,
. ...� _ '1/6.111
UM bad *kw
/.reed Ora maim,reed Ora maim,Multiple,
T. Woo wheel Marti,Woo wheel Marti,1,
C.6n POW 3 doom,POW doom,1,
Pedal elan- 2 bone,Pedal bone,1,
Clem atm,Clem,1,
Needed at hoar,Needed hoar,1,
m
