Input,Product,Quantity,Tags
1$1 Grade SuDDIY List
2 containers of Clorox disinfectant wipes,Clorox disinfectant wipes,2,containers
'�• 2 boxes of tissues,tissues,2,boxes
• 3 boxes of 1 gallon Ziploc bags,Ziploc bags,3,"boxes,gallon"
❖ 4 notebooks (black and white composition ONLY),notebooks,4,white
•:• 4 glue sticks,glue sticks,4,
• 1 pack of 24 Crayola crayons,Crayola crayons,1,pack
• 4 packs of #2 pencils,pack pencils,4,packs
• 2 packs of index cards,pack index cards,2,packs
••• 2 rolls of
paper towels,paper towels,Multiple,
• 1 pack of erasers,erasers,1,pack
• 10 (for homework folder and classroom supplies
4
