Input,Product,Quantity,Tags
• Messag... •. it 5:51 PM 18%1__
school -supply -list can
13. 10 -Blue ' ens,Blue ens,13,
14. 3 - Red Pens,Pens,14,Red
15. 1- Ruler,Ruler,15,
16. 1- Pkg. Pencil Crayons,Pencil Crayons,16,Pkg.
"17. 2 -1"" Binders",Binders,17,"1"""
18. 8 - Subject Dividers,Subject Dividers,18,
19. 1- Scientific Calculator,Scientific Calculator,19,
20. 1- Geometry Set,Geometry,20,Set
21. 1- Pocket Dictionary,Pocket Dictionary,21,
22. 1- Thesaurus,Thesaurus,22,
23. 1- Pencil Sharpener,Pencil Sharpener,23,
24. 1- Agenda BooldStudent,Agenda,24,
P
