Input,Product,Quantity,Tags
Hughes Springs Elementary,Hughes Springs,Multiple,
Kindergarten Supply List
2017-2018
1 - backpack - no rolling backpacks,backpack rolling backpacks,1,
"1 - plastic school box (8 X 5"")",plastic,1,"5"",box"
- boxes of Crayola Brand crayons (small box with basic 8 colors),Crayola Brand crayons,Multiple,"boxes,box"
2 - boxes of Crayola Brand crayons (medium box with 24 colors),Crayola Brand crayons,2,"boxes,box"
NO ROSEART OR CRA-Z-ART CRAYONS (They are not true colors.),ART CRAYONS,Multiple,
1 - pair of blunt tipped scissors - Fiskars Brand plastic with,blunt tipped scissors Brand plastic,1,pair
metal blade that will cut left or right handed (Other brands do not cut well.)
4- medium bottles of Elmer's school glue,medium Elmer glue,4,bottles
8- Glue sticks,Glue sticks,8,
1- package of Ticonderoga # 2 yellow pencils,Ticonderoga pencils,1,"package,yellow"
(Decorative pencils will not sharpen in our pencil sharpeners.)
1- big pink eraser,big eraser,1,pink
2- boxes of Kleenex,Kleenex,2,boxes
"1- package of manila paper 9""X 12"" no tablets",manila paper tablets,1,"9"",package"
"1- package of construction paper 9""X12"" no tablets",construction paper tablets,1,"9"",package"
1- spiral . notebook,spiral notebook,1,
1- package of 8 washable a markers,washable markers,1,package
"1- 3"" Binc er with. 3 rings and. a cc.ear pocket on the front"
"1- 1"" Binc .er"
1.- 'sox of ga 1.on size Zile Loc: storage bags,size storage bags,1,
1. - Jarge ?ac: cage of 1 )al )y wipes,wipes,Multiple,
