Input,Product,Quantity,Tags
folders with fasteners,folders,Multiple,
_s_„ p
"• 1 - 1 "" 3 -ring binder with inside pockets",ring binder,1,
• 2 - 1 subject spiral bound wide ruled notebooks,subject spiral bound wide ruled notebooks,2,
• 2 boxes of 24 count Crayola crayons,Crayola crayons,2,boxes
"\!/G i o nstf41 U61 g 3-,"
• Boys — 1 box of sandwich sized baggies,Boys sandwich sized baggies,Multiple,box
• 1 container of Clorox wipes,Clorox wipes,1,container
• 1 bottle hand sanitizer,hand sanitizer,1,bottle
• 4 large glue sticks,large glue sticks,4,
"t,•),. dozen #2 pencils — No plastic coated pencils please"
"'Plastic pencil box — traditional size - 8%"" x 5",Plastic pencil traditional size,5,box
• 2 or more dry eraser markers,more dry eraser markers,2,
• 2 highlighters,highlighters,2,
• 6 large pink erasers,large erasers,6,pink
. • 2 boxes of tissue,tissue,2,boxes
Scissors,Scissors,Multiple,
iii
"Mills River 8,-h.,•,4",Mills River,4,
#THEplocstobs rd
Grade  '
"— red, blue, green - 2 -pocket PLASTIC",red blue pocket PLASTIC,1,green
1 pkg. wide -ruled loose leaf notebook paper,wide ruled loose leaf notebook paper,1,pkg.
• 4 wide -ruled marble composition books - Not sp
* ' head hones for Computer tab - NO earbu,head hones,Multiple,
>`-• i pair inexpensive P****************** * .- -ik
*
