Input,Product,Quantity,Tags
••000 Verizon
10:54 PM @ 1 O * 4%
School Supplies - Welcome to P.S. 136The R,Welcome,1,
ps136.weebly.com
Li icy VCII 1 BJW IQNGIGY 111 JI 11VV1.,icy 111,11VV1,
"• 8 Pocket Folders (Red, Blue, Yellow, Green,",Pocket Folders,8,
"Orange, Purple etc. — solid colors)",Orange etc solid colors,Multiple,Purple
"• 2"" Binder- (Bring back binder from last school",Binder,1,"2"""
year — Grades 3 — 5 only)
• 1 Pack of Dividers (Grades 3- 5 only),Dividers,1,Pack
"• 2 packages of looseleaf paper (Grades 3, 4",looseleaf paper,2,packages
and 5 only)
"• 2 boxes of #2 Pencils (1 for school, one for",Pencils,2,boxes
home),home,1,
• 1 Thumb/Zip Drive (use the same one from,Thumb Zip Drive,1,
last year),last year,1,
• 1 box of Crayola Crayons (24 pack) 1 box of,Crayola Crayons,1,"box,box"
Crayola Markers,Crayola Markers,Multiple,
• 1 box of Expo Dry Erase Markers (4 pack) with,Expo Dry Erase Markers,1,box
an eraser,eraser,1,
• 1 pack assorted colors of Construction Paper,assorted colors Construction Paper,1,pack
• 1 pack of Elmer's Glue Sticks (3 pack) and a,Elmer Glue Sticks ,1,pack
bottle of Elmer's glue,Elmer glue,1,bottle
- Black felt tip markers and assorted colors.,felt tip markers and assorted colors,Multiple,Black
(for our new writing program)
"- Additionally, they will need an old t -shirt or"
smock for art class.,smock,1,
- Index cards (3x5),Index cards,Multiple,3x5
1
oft
U
i
