Input,Product,Quantity,Tags
r 2 marble composition notebooks N,marble composition notebooks,Multiple,
r Hand Scrnitizer,Hand,1,
r Tissues,Tissues,Multiple,
r Clorox Wipes,Clorox Wipes,Multiple,
r Paper Towels,Paper Towels,Multiple,
rY we wanted to make sure you are aware 4
your child will need next year in first grade
"take advantage of the summer sales on,.schc"
INDIVIDVAL*14:
Supplies�l�
1 box of #2 Ticonderoga pencils •,Ticonderoga pencils,1,box
1 box of CRAYOLA markers,CRAYOLA markers,1,box
2 highlighters (any color),highlighters,2,
r 4 Dry Erase Expo Markers,Dry Erase Expo Markers,Multiple,
V 1 box of CRAYOLA 24 -count cray,CRAYOLA,1,box
r 2 Iarge glue sticks,glue sticks,Multiple,
r 1 backpack,backpack,1,
IP 1 ruler (for use at home),ruler,1,
r 1 bottle of Elmer's glue,Elmer glue,1,bottle
