Input,Product,Quantity,Tags
Rth Graff,Graff,1,
ELA 4 sewn wide rule Reading composition
"books, 4 sewn wide rule Wnting",books sewn wide rule,Multiple,
"composition books, 8 packs of square"
"Post -its, pencils",Post its pencils,Multiple,
"MATH 2 3 -subject notebooks, pencils everyday for"
"Bass, one colored pen or pencil (any color",Bass one colored pen pencil,1,
"is fine), one pocket folder for class papers,",pocket folder,one,
one folder for home use to store papers.,folder,one,
Science 3 sewn wide rule composition hnn (1),Science sewn wide rule composition,1,
"pocket folder, pencils!",pocket folder pencils,Multiple,
Social Studies 2 inch- 3 ring binder
Composition Notebook,Composition Notebook,1,
