Input,Product,Quantity,Tags
CCI:DQL CUPLY I3TCCI UP
Enic: LICT
School Supply Stock Up Prices are listed below. Anything less than
these prices are considered extreme and are definite stock up prices!
Crayons 50.25,Crayons,25,
Colored Pencils 50.50,Colored Pencils,50,
Highlighters 50.50,Highlighters,50,
"Markers, Scissors, Pencil Bags 51.00",Markers Scissors Pencil Bags,00,
"#2 Pencils, Rulers, and Glue 50.25",Pencils Rulers and Glue,2,
Ballpoint Pens 50.25,Ballpoint Pens,25,
Sharpies 51.00/pack
Dry Erase Markers S1.50,Dry Erase Markers,50,
Pencil Sharpeners 50.50,Pencil Sharpeners,50,
Wite-Out 50.50,O,50,
Pink and End Cap Erasers 50.25,and End Cap Erasers,25,Pink
1 -Subject Notebooks 50.25,Subject Notebooks,1,
3-5 Subject Notebooks 51.00,Subject Notebooks,3,
Composition Notebooks 50.25,Composition Notebooks,25,
Loose Notebook Paper 50.50,Loose Notebook Paper,50,
Post -It Notes 50.25,Post Notes,25,
3 -Ring Binder 51.00,Ring Binder,3,
Pocket Folders 50.10,Pocket Folders,10,
Compass/Protractor S1.00,Compass Protractor,00,
Index Cards 50.50,Index Cards,50,
Paper Clips/Binder Clips 51.00,Paper Clips Binder Clips,00,
Ba rga i nswith Britta n ie.com,Britta,1,
