Input,Product,Quantity,Tags
*eel.° Lycamobile f 3:18 PM 7 75%Lr,eel,1,
mineola.k12.ny.us
". a""<]"
Mineola UFSD
Kindergarten Supply List
2017-2018
P1.... r.d I. ff. 1.1 ori.y. items Airing fkm fl nwk ofrbmf
"1 1w Yyr Y Ili, ao-.u.h to fn winter w krt. nu . heed.. p"
1 Kelly la.. lull.. 14.1 1/:Im.r01,Kelly lull,1,
V
hddrn Pluto : I.. hem p. Yet
1 has Travels E..4.r.d p'nnl.
I but a (Attu aL m.r kris that putm.n InY.a
II.l.t \'a m.. It %I1
"1 An a Cr.sal. nor Yen thin primula, oil..",nor Yen thin oil,1,
IL.t \
I! Lr.r Glue au Ys,Glue,1,
"IFI Era., %Inrk,.n",Era,1,
1 lan Sharpen.) fend.,fend,1,
\I.r+tle Nan 1..42,Nan,42,
1 him Lel.. 1.... V. II Zapper i/+uart .Ire La Name. A %II,him Zapper Ire Name,1,
11:a114n1 .Ina Lam Names N YI,Ina Lam Names,11,
"hits.. Rah, wipes"
h4s.. T.....
1 Sint. k +Nut pL.t. hlg tdd sham. murk b..41 fat .4t (I.m,Nut sham murk fat,1,
iI1eAut plate child • name in•ldei,plate child name,1,
1 Ilwdyh4 tors t an either I. pun hard tin tour non tor thn.u[h the
"at h...l I..r r lee al 4, i i i l.va is ar t h,. 1. nn a tint n.mr tint rave"
"ha.l. a then 1m..1, n1du."
"I .h.nee 4d .4.),... 1.1.14.11. • %pia halt",halt,1,
"WM, save child h.. IT... al /:11. main Ow, MUST ha. their"
.1atuY.r. 14n the. I'I...,the,1atuY,
"Additional ....le, mar b. ...on..t.d he the le.rhrr .. strode"
"Please I.be1 V d.ly ..l...e.. ..d ..,p&. .kb .b ld'% sue"
r
"anat.. Iv ISWIAll De•••••."".•"
