Input,Product,Quantity,Tags
•••° T -Mobile 2:58 PM,Mobile,1,
ps32 statenisland.com
+11' r�
3rd Grade
43%■
updated June 2017,updated,2017,
"1-Foldefs, Poly, 2 Pocket, 3 Hole, 5 Pk, Blue,Red,Green,Yellow, Purple",Pocket Hole Blue Red Green Yellow,1,Purple
"1 -Folder, Poly, 2 Pocket, 3 hole, Orange",Folder Pocket hole,1,Orange
"1 -folder, Poly, 2 Pocket, 3 Hole, White",folder Pocket Hole,1,White
"7 -Composition Notebooks, Marble Cvvca, Wide Ruled, 100 Sheets, Black",Composition Notebooks Marble Wide Ruled 100 Sheets,7,Black
"2 -Paper Towels, Roll, 2 Ply, 85 Sheets",Paper Towels Roll Ply Sheets,2,
"3 -Facial Tissues, 'Scotties', Hypo -Allergenic, 200ct",Facial Tissues Scotties Hypo Allergenic,3,
"1 -Pencil case, Fabric, 3 hole w/Grommots, 10""z 6""",Pencil case Fabric,1,"10"""
"2 -Highlighters, Chisel Tip, Yellow, w/Pkt Clip",Highlighters Chisel Tip Yellow,2,
"1 -Pencils, u2, Oriole, Sharpened, 1 dz",Pencils Oriole Sharpened,1,
"6 -Stick On Notes, 3'z 3"", lined, Asst., 80 Sheet/Pad",Stick Notes lined Asst Sheet Pad,6,"3"""
"1 -Ruler, 12"", Plastic, Inch & Cm, Center Holes",Ruler Plastic Inch Center Holes,1,"12"""
"1 -Bulk Copy Paper, 201b, 8.5'z 11"", S00/Pk, white",Bulk Copy Paper,1,"11"",white"
"1 -Filler Paper, Wide Ruled, 10.5'1 8', 120/Pk",Filler Paper Wide Ruled 20,1,
"1 -Crayons, Tuck Box, 16/Box",Crayons Tuck Box Box,1,
"3 -Glue Sticks, Flm*r's Washable, Purple, Dries Clear, .21 oz",Glue Sticks Washable Purple Dries Clear,3,
"1 -Scissors, 5', Pointed Tip",Scissors Pointed Tip,1,
"1 -Pencils, Colored, 7"", Sharpened, 12/Set",Pencils Colored Sharpened Set,1,"7"""
"1 -Free ""Money From Home"" Envelopes & Student ID Labels",Free Money From Home Envelopes Labels,1,
"1 -Baby Wipes, 80 ct Tub",Baby Wipes Tub,1,ct
**KEEP EXTRA SUPPLIES AT HOME**
"**Slimmer is a great time to practice addition, subtraction and"
multi lication with flash cards (please purchase or mnbn your own),multi,1,
)site Designed by JulielLANWIII 211TNEIPRomesteadTm Desigi,site Designed,1,
