Input,Product,Quantity,Tags
Science
➢ 1 - Package of 4X6 LINED,LINED,1,Package
index cards,index cards,Multiple,
➢ I Roll of Paper Towels,Paper Towels,Multiple,Roll
➢ Colored pencils,Colored pencils,Multiple,
➢ 2 — 3 Subject spiral notebook,Subject spiral notebook,2,
➢ BOYS 2 boxes of tissue,BOYS tissue,Multiple,boxes
• GIRLS 2 Package of Anti -
Bacterial Wipes / Clorox Wipes
Math
➢
➢
"1 — 1"" 3 Ring Binder",Ring Binder,1,"1"""
Page dividers,Page dividers,Multiple,
S5 fee for interactive notebook
and calculator,and calculator,1,
English
➢ Jump drive,Jump drive,1,
➢ Package of Post -It notes,Post notes,Multiple,Package
➢ BOYS — Package of notebook,BOYS notebook,Multiple,Package
paper,paper,1,
➢ GIRLS — Box of pencils,GIRLS pencils,Multiple,Box
History
• 12 count colored pencils,colored pencils,12,
➢ Expo markers,Expo markers,Multiple,
P.E.
