Input,Product,Quantity,Tags
KINDERGARTEN
"12 - 2 -':.et Plastic Folders (3 red, 3",Plastic Folders,12,
"blue, 3 green. 3 yellow)",blue green yellow,1,
4 MEAD Black i White Note- _ _ is,MEAD Note,4,"Black,White"
2 Large Erasers,Large Erasers,2,
3 packs of 42 Dixon TkonderoBa,pack Dixon,3,packs
pencils (Sharpened) (All other brands,pencils Sharpened,Multiple,
break when sharpened),break when sharpened,1,
1 4 -pack Dry -ease marken,pack Dry ease,1,
2 Boxes of KLEENEX Tissues,KLEENEX Tissues,2,Boxes
1 Package of HUGGIES or PAMPERS,PAMPERS,1,Package
Baby Wipes,Baby Wipes,Multiple,
