Input,Product,Quantity,Tags
Notes •.Qrw> LTE 10:31 PM C 1,Notes,1,
files.constantcontact.com,files,Multiple,
2
1 /
121
GO 1
1 1
2 1
4 1
3 1
k
12 /
/
/
1
6 /
I /
4 /
12 /
4 /
3 /
5 /
tI 4
/
1
1 /
1
1 pack l
rI 1 /
k1QTY. l
pack I
I 1 pack
I 1 pack
I 1 I
1 I QTY. /,QTY,1,
12
I 1 pack
201748 Middle School Supplies,Middle,201748,
Math Supplies
Item _,Item,1,
Protactor
Compass,Compass,1,
"3"" Ring Binder"
"Graph Paper (1/4"")",Graph Paper,Multiple,"4"""
* Calculator (7th/8th only),Calculator,1,
"""MUST HAVE"
Science Supplies
Item,Item,1,
Colored Pencils/Highlighers,Colored Pencils,Multiple,
markers,markers,Multiple,
Index cards,Index cards,Multiple,
Spiral Notebook,Spiral Notebook,1,
Social Studies Supplies
item,item,1,
3 X 5 index cards,index cards,3,
Highlighters (different Colors,Highlighters,Multiple,
Colored pencils,Colored pencils,Multiple,
Folcer
Ph s/ca/ Education.•
1
Scissors,Scissors,Multiple,
Ruler (in inches and Centimeters),Ruler,1,
Glue Sticks,Glue Sticks,Multiple,
Sharpened 02 Pencils,Sharpened Pencils,Multiple,
8ox of Markers,Markers,8ox,
Boxes of 12 Colored Pencils,Colored Pencils,Multiple,Boxes
Highlighter Markers,Highlighter Markers,Multiple,
Packs of Post -It Notes,Post Notes,Multiple,Packs
Ballpoint pens (blue or black),Ballpoint pens,Multiple,
Ballpoint Pens (red tnk),Ballpoint Pens,Multiple,
Soft Pink erasers,Soft erasers,Multiple,Pink
Dry Erase Markers,Dry Erase Markers,Multiple,
Packages Loose Leaf Notebook Paper,Loose Leaf Notebook Paper,1,Packages
"3"" Black Binder",Binder,1,"3"",Black"
Boxes of Kleenex,Kleenex,1,Boxes
Bottle of Hand Santizer,Hand,1,Bottle
Roll of Paper Towels,Paper Towels,Multiple,Roll
Containers of Disinfectant Wipes,Disinfectant Wipes,Multiple,Containers
Reams of White Copy Paper
Tennis Balls,Tennis Balls,Multiple,
3 pkg
1
1 1
Students ore required to dress for PE and purchase PE uniform•
Language Arts Supplies,Language,1,
Item,Item,1,
Multicolored Highlighters,Multicolored Highlighters,Multiple,
3 X 5 index cards,index cards,3,
3 inch binder with dividers,inch binder,3,
2 pocket folders (one. r and b4ue),pocket folders,2,
Pack of multicolored construction paper,multicolored construction paper,1,Pack
Folder (for intensive reading ONLY),Folder,1,
pocket size thesaurus/dictionary,pocket size thesaurus dictionary,1,
Spanish Supplies
Item,Item,1,
1 subject Spiral Notebook,subject Spiral Notebook,1,
Pencils,Pencils,Multiple,
Marker; or Colored Pencil.,Marker Colored Pencil,1,
Sp-nish!):npLSh tli:rir.^ark,ark,1,
Art Supplies (if token)
1
1
1
1
1
Men
"itt fe G r ,"
1
1
"R1' . • ,v .. .t"
r
