Input,Product,Quantity,Tags
Brand Name Product Desc ip:an Kit Includes
"Oa= Wipes, Disinfecting, Breath Free, Lemon Scent, Cnstr, 35 Ct 1 Ea",Wipes Disinfecting Breath Free Lemon Scent,1,"Ct,Ea"
"Give Folder, Poly, 2 Pocket Blue 1 Ea",Give Folder Pocket,1,"Blue,Ea"
"Roaring/Comet Graph Paper, Spiral Notebook, 4 Win, 11""x9"", 100 Ct, 3 HP 2 Ea",Roaring Comet Graph Paper Spiral Notebook Win 100,2,"11"",Ea"
"Staples Glue Stick, Staples Brand, Washable, White, .26 oz. 6 Ea",Staples Glue Stick Staples Brand Washable White ounce,6,Ea
"Staples Enimn, Pencil Cap, Latex Free, 22/Pk 2 Pk",Staples Pencil Cap Latex Free,2,Pk
"Staples Composition Book, Marble Cover, WR, 100 Sheets, BLK 3 Ea",Staples Composition Book Marble Cover 100 Sheets,3,Ea
"StaPies Filler Paper, Wide Rule, 10.5"" x 8"", 120/Pk 3 Pk",Filler Paper Wide Rule 120,3,"5"",Pk"
"Avery Dividers, 3 Ring, Write On, 5 -Tab, 11"" x 8.5"" 4 St",Avery Dividers Ring Write Tab,4,"11"",St"
"cu R.00rcementS, Round, White, 1/4"", 100/Pk 1 Pk",Round White 00,1,"4"",Pk"
"Staples Pen, Stick, Medium Point, Blue 2 Ea",Staples Pen Stick Medium Point,2,"Blue,Ea"
"Stalks Pencils, 12, Unsharpened, All Wood, Dz. 2 Pk",Stalks Pencils Unsharpened All Wood Dozen,2,Pk
"Prang Pencils, Colored 7"", Sharpened, 12/Set 1 St",Pencils Colored Sharpened Set,1,"7"",St"
"Esselte Index Cards, 3"" x 5"", Ruled, 100/Pk, White 2 Pk",Index Cards Ruled 100,2,"3"",White,Pk"
"Staples Highlighters, Chisel lip, Yw/81/Gn/Pk/Or/Pur, 6/pk 1 Pk",Staples Highlighters Chisel lip,1,Pk
"Sees Pencil !' D, Ni Multi-Pkt, 11"" x 9"", 3 Hole, Asst. 1 Ere"
"moped Sharpener, Pencil & Crayon, Obi Barrel, Canister 1 Ea",moped Sharpener Pencil Crayon Obi Barrel,1,"Canister,Ea"
"Sc otdes Fadal Tissue, 'Scotties', Hypo -Allergenic, 200 Q. 2 8x",Tissue Scotties Hypo Allergenic 200,8x,
"Expo 2 Markers, Dry Erase, Fine, Low Odor, rya 4/Pk. 1 pit"
"Wilson lanes Binder, 3 Ring, Heavy Duty, View, 1"", Wadi 1 Ea",Wilson lanes Binder Ring Heavy Duty View Wadi,1,"1"",Ea"
"Wilson Jones Binder, 3 Ring, Heavy Duty, View, 1"", White 1 Ea",Wilson Jones Binder Ring Heavy Duty View,1,"1"",White,Ea"
"Avery Binder, 3 Ring, Durably 1"", EZ Ring, Red 1 Ea",Avery Binder Ring Durably Ring,1,"1"",Red,Ea"
"Avery Binder, 3 Ring, Durable, 1"", EZ Ring, Green 1 Ea",Avery Binder Ring Durable Ring,1,"1"",Green,Ea"
"Wilson Jones Binder, 3 Ring, Heavy Duty, View, 2"", White 1 Ea",Wilson Jones Binder Ring Heavy Duty View,1,"2"",White,Ea"
"C.Vne Expanding File, Fabric Poly, Leta, 13 Pckt, Zip,Blue 1 Ea",Expanding File Fabric Leta Zip Blue,1,Ea
"Bonus Items i"". ""Money From Home"" Envelopes & Student ID Labels 1 Ea",Bonus Money From Home Envelopes Labels,1,Ea
Total Delivered Kit Cost: $90.00,Total Delivered Kit Cost,00,
