Input,Product,Quantity,Tags
J.P. MCKenna
SCHOOL
SUPpt1ES
60LL Et 701\1,701,60LL,
Rhdergarten Supply List
1 backpack that can fit into locker (no wheels)
1 clipboard,clipboard,1,
1 box colored pencils,colored pencils,1,box
2 boxes Crayola crayons — 8 count basic colors,Crayola crayons basic colors,2,boxes
1 dry erase eraser,dry erase eraser,1,
1 pkg. of 6 dry erase markers - thin black only,dry erase markers thin only,1,"pkg.,black"
1 pair of ear headphones (inexpensive) in Ziploc bag labeled with child's name,ear headphones Ziploc bag labeled,1,pair
(not earbuds)
1 pkg. of 3 Elmer's jumbo glue sticks,Elmer jumbo glue sticks,1,pkg.
2 pkg. post -it notes,post notes,2,pkg.
1 smock (old oversized shirt works best),smock,1,
1 pkg. of Ziploc bags - gallon size,Ziploc bags size,1,"pkg.,gallon"
1 pkg. of Ziploc bags - quart size,Ziploc bags quart size,1,pkg.
1 pkg. of Ziploc bags - snack size,Ziploc bags snack size,1,pkg.
Donations of any of the following items would be greatly appreciated:
- baby wipes,baby wipes,Multiple,
- paper towels,paper towels,Multiple,
- tissues,tissues,Multiple,
WHO K •
