Input,Product,Quantity,Tags
Centro . Elementary
3rd grace supp; .y ; ist,grace supp,3rd,
One 1-1 inch biv (they have them at the Dollar Tree right now!),inch,One,
3 Pocket fobs,Pocket fobs,3,
One pack of cwcpla wayons
One pack of glue sticks,glue sticks,One,pack
One pair of - sots,sots,One,pair
"One pack of loose-leaf paper & one notebook of,ual paper",loose leaf paper one notebook paper,One,pack
irk
One pack of cokiii
� pencils,pencils,Multiple,
Far buric
One pack each of m»hmlication/division f ah eArds,each division,One,pack
Wish List:,Wish,1,
Lysol Wipes,Lysol Wipes,Multiple,
}land c..i.;:i7,land,1,
Tissues,Tissues,Multiple,
We are so excited for another year! Thank you parents for all you do!
Mrs. Duncan
Mrs. Holbrook,Holbrook,1,
Mrs. Wright,Wright,1,
