Input,Product,Quantity,Tags
Basic School Supply List for 4th Grade
❑ Backpack or School Bag,Backpack Bag,1,
❑ 2 Box Kleenex,Kleenex,2,Box
❑ 1 Pair Large Pointed Scissors,Large Pointed Scissors,1,Pair
❑ 1 Bottle Eimer's Glue,Glue,1,Bottle
O 1 Packages Crayola Crayons,Crayola Crayons,Multiple,Packages
O 2 Packages Colored Pencils,Colored Pencils,Multiple,Packages
❑ 2 Packages of #2 Pencils,Pencils,2,Packages
❑ 4 Spiral Notebook,Spiral Notebook,4,
❑ 4 Packs Wide -Ruled Paper,Wide Ruled Paper,4,Packs
❑ A 3 Ring Binder
❑ 2 Erasers,Erasers,2,
O 6 Pocket Folders,Pocket Folders,Multiple,
❑ 1 Pencil Bag or Plastic School Suppl,Pencil Bag Plastic Suppl,1,
"❑ 1 12"" Ruler",Ruler,1,"12"""
❑ Anti -Bacterial Soap,Anti Bacterial Soap,1,
❑ 1 Box Ziploc Bags- Gallon Size,Ziploc Bags Size,1,"Box,Gallon"
