Input,Product,Quantity,Tags
GRADE E 5
S SCHOOL
ITUDENT SUPPLY LIST 2017-18,2017,18,
• A sturdy book bag (no wheels),sturdy book bag,1,
• *2 yellow highlighters,highlighters,2,yellow
• *2 packs of sharpened pencils,pack sharpened pencils,2,packs
"• 1 pack of pens (black, red, blue)",pens,1,pack
• Colored pencils,Colored pencils,Multiple,
• *24 Glue sticks,Glue sticks,24,
• 1 2 inch 3 ring binder and separators,inch ring binder and separators,1,
• *Large pack of Post -it notes 3 x 3,Large Post notes,3,"3 x 3,pack"
*2• loose-leaf white lined paper (for binder),loose leaf lined paper,2,white
of
• 2 jumbo or extra -large book covers,jumbo extra large book covers,2,
• *1 pack of Expo markers (fine tip),Expo markers,1,pack
• 3 -ring pencil pouch (for binder),ring pencil pouch,3,
• Scissors,Scissors,Multiple,
• 1
black and white composition book,and composition book,1,"black,white"
• *4 pocket  (1 for Health) Health),pocket Health,4,
books (1 will be used for,books,Multiple,
* e sub'ec  note,sub note,1,
• 4 singl � • Sneakers for Physical Education,Sneakers,4,
• One 1 -inch 3,inch,One,
ring binder for Spanish
• Earbuds,Earbuds,Multiple,
* throughout the school year. Parents may
supplies may need to be replenished
during the sale period.
