Input,Product,Quantity,Tags
7th grade
Nylon Zipper tainder,Nylon Zipper,1,
4 -durable pocket folders with 3 holes to fit inside nylon zipper binder,durable pocket folders,4,
Pencil pouch with 3 holes to fit inside binder,Pencil pouch,1,
Endless supply of pencils! (mechanical recommended),Endless pencils,Multiple,
Ink pens for corrections (multiple colors recommended),Ink pens,Multiple,
"1 -locker stacking shelf with 12"" legs",locker stacking shelf,1,"12"""
5-100 count packages college ruled loose leaf paper (LA/math/religion),college ruled loose leaf paper,5,packages
1 -package loose leaf graph paper (math),package loose leaf graph paper,1,
"2-1"" 3 -ring binder with pockets (religion%math)",ring binder,2,"1"""
2- package of 8 tab dividers for binder (religion/math),tab dividers,2,package
2-1 subject notebook with hard cover (SS),subject notebook,2,
2 -composition notebook (science/LA),composition notebook,2,
1 -Yellow (8'.4x11% )legal note pad (science),Yellow legal note pad,1,4x1
"3 -JUMBO book covers [1 purple(math), 1 green(55), 1 blue(science}j",JUMBO book covers purple green blue,3,
1- TI 30XIIS calculator (math),calculator,1,
"3-100 pack of 3""x5"" lined index cards (LA, religion, science)",lined index cards,3,"3"",pack"
1-50 pack wooden pencils*,wooden pencils,1,pack
1-24 pack of color pencils*,color pencils,1,pack
1-10 pack of fine line markers*,fine line markers,1,pack
1-4 pack mulit-color pen style highlighters*,color pen style highlighters,1,pack
4 -red ball point pens*,red ball point pens,4,
"4-3""x3"" Post -it note pads (variety of colors)*",Post note,4,"3"",pads"
"1-12"" ruler w%metric markings (plastic only)*",ruler metric markings,1,"12"""
3 boxes of Kleenex *,Kleenex,3,boxes
3 rolls of paper towels*,paper towels,3,rolls
2 containers Clorox wipes*,Clorox wipes,2,containers
1 box sandwich size ziploc bags*,sandwich size ziploc bags,1,box
Backpack (no wheels),Backpack,1,
*items to be collected by teacher for community classroom use
7th GRADE ART,ART,7th,
1 black Sharpie marker,Sharpie marker,1,black
"Sketchbook, side wirebnd, 11x8.5, 70 sheets",Sketchbook side sheets,Multiple,11x8
7th GRADE COMPUTER CLASS,COMPUTER CLASS,7th,
Headphones w/ boom mic-preferably not a USB plug** (to stay in comp. lab)
**headphones and mic need to have separate plugs -check Best Buy
7th GRADE SPANISH twill take place instead of music and 2nd day of tech),SPANISH twill take place instead music and day tech,7th,
"1-1"" 3 -ring binder with pockets",ring binder,1,"1"""
