Input,Product,Quantity,Tags
3RD GRAffl:
2 boxes crayons (24 count),crayons,2,boxes
"24 ,12 wooden yellow pent",wooden pent,24,yellow
1 small children's pointed s,small children pointed,1,
1 pkg. of 4 glue sticks,glue sticks,1,pkg.
"1 bottle 4 oz, school glue",glue,1,bottle
heavy-duty zipper pouch f,heavy duty zipper pouch,1,
2 composition books,composition books,2,
iral wide -rule (1 subject;,wide rule,1,
1 box ofquart bags,bags,1,box
1 box of gallon bags,bags,1,"box,gallon"
"Arria c.,'12 e nF."
